,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"2,435.10","2,241.50","2,113.40","2,199.60","1,844.00"
Depreciation/Depletion,"2,137.90","2,137.70","1,766.30","1,782.90","1,599.50"
Deferred Taxes,(68.40),67.90,55.30,(350.40),105.20
Non-Cash Items,427.80,412.30,203.20,500.90,(25.50)
Cash Interest Paid,291.70,264.30,167.10,--,--
Changes in Working Capital,273.30,(147.20),578.20,121.00,173.30
Cash from Operating Activities,"5,205.70","4,712.20","4,716.40","4,254.00","3,696.50"
Capital Expenditures,"(2,630.20)","(2,636.40)","(2,249.20)","(2,182.50)","(2,258.60)"
"Other Investing Cash Flow Items, Total",675.60,51.60,(21.00),336.80,"(11,335.70)"
Cash from Investing Activities,"(1,954.60)","(2,584.80)","(2,270.20)","(1,845.70)","(13,594.30)"
Financing Cash Flow Items,(386.30),(369.30),(243.80),(72.00),(86.00)
Total Cash Dividends Paid,"(1,307.90)","(1,163.00)","(1,159.40)","(1,031.20)",(947.40)
"Issuance (Retirement) of Stock, Net",(6.20),(108.90),74.50,(88.40),"3,364.90"
"Issuance (Retirement) of Debt, Net",(727.20),"(1,139.00)","(1,149.80)","(1,085.40)","8,152.00"
Cash from Financing Activities,"(2,427.60)","(2,780.20)","(2,478.50)","(2,277.00)","10,483.50"
Foreign Exchange Effects,(1.40),0.70,65.20,(46.10),(30.60)
Net Change in Cash,822.10,(652.10),32.90,85.20,555.10
