,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"1,003.00","1,206.00",633.00,755.00,222.00
Cash & Equivalents,584.00,201.00,808.00,683.00,401.00
Cash and Short Term Investments,"1,587.00","1,407.00","1,441.00","1,438.00",633.00
"Accounts Receivable - Trade, Net","1,131.00","1,204.00","1,247.00","1,115.00","1,150.00"
"Total Receivables, Net","1,364.00","1,501.00","1,500.00","1,366.00","1,411.00"
Total Inventory,881.00,"1,014.00","1,136.00","1,145.00","1,111.00"
"Other Current Assets, Total",231.00,95.00,7.00,17.00,--
Total Current Assets,"4,063.00","4,017.00","4,084.00","3,966.00","3,155.00"
"Property/Plant/Equipment, Total - Gross","9,477.00","9,818.00","9,004.00","8,519.00","9,536.00"
"Accumulated Depreciation, Total","(6,650.00)","(6,792.00)","(6,377.00)","(6,055.00)","(6,884.00)"
"Property/Plant/Equipment, Total - Net","2,828.00","3,026.00","2,627.00","2,464.00","2,652.00"
"Goodwill, Net","1,933.00","1,917.00","1,618.00","1,525.00","1,703.00"
"Intangibles, Net","1,433.00","1,475.00","1,259.00","1,181.00","1,074.00"
Long Term Investments,122.00,119.00,100.00,87.00,95.00
Note Receivable - Long Term,173.00,206.00,211.00,203.00,200.00
"Other Long Term Assets, Total",159.00,217.00,212.00,150.00,171.00
Total Assets,"10,711.00","10,977.00","10,111.00","9,576.00","9,050.00"
Accounts Payable,987.00,905.00,"1,037.00",965.00,932.00
Accrued Expenses,210.00,234.00,235.00,232.00,247.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,134.00,661.00,201.00,244.00,728.00
"Other Current liabilities, Total",249.00,226.00,193.00,237.00,248.00
Total Current Liabilities,"1,580.00","2,026.00","1,666.00","1,678.00","2,155.00"
Long Term Debt,"2,554.00","2,267.00","2,246.00","2,249.00","1,376.00"
Capital Lease Obligations,109.00,110.00,0.00,1.00,1.00
Total Long Term Debt,"2,663.00","2,377.00","2,246.00","2,250.00","1,377.00"
Total Debt,"2,797.00","3,038.00","2,447.00","2,494.00","2,105.00"
Deferred Income Tax,320.00,334.00,268.00,271.00,285.00
Minority Interest,48.00,51.00,49.00,41.00,45.00
"Other Liabilities, Total",913.00,916.00,903.00,903.00,984.00
Total Liabilities,"5,524.00","5,704.00","5,132.00","5,143.00","4,846.00"
"Common Stock, Total",767.00,766.00,766.00,759.00,757.00
Additional Paid-In Capital,"1,272.00","1,266.00","1,263.00","1,216.00","1,211.00"
Retained Earnings (Accumulated Deficit),"2,486.00","2,380.00","2,147.00","1,670.00","1,250.00"
Treasury Stock - Common,(6.00),(11.00),(28.00),(2.00),(4.00)
"Other Equity, Total",668.00,872.00,831.00,790.00,990.00
Total Equity,"5,187.00","5,273.00","4,979.00","4,433.00","4,204.00"
Total Liabilities & Shareholders' Equity,"10,711.00","10,977.00","10,111.00","9,576.00","9,050.00"
Total Common Shares Outstanding,76.68,76.49,76.26,75.84,75.65
"Tangible Book Value per Share, Common Eq",23.75,24.59,27.56,22.77,18.86
Short Term Investments,10.00,15.00,--,--,--
