,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,335.00,551.00,715.00,581.00,429.00
Depreciation/Depletion,748.00,650.00,508.00,501.00,530.00
Non-Cash Items,(197.00),(18.00),(85.00),(41.00),(167.00)
Cash Interest Paid,28.00,27.00,33.00,33.00,--
Changes in Working Capital,229.00,117.00,(109.00),(33.00),29.00
Cash from Operating Activities,"1,115.00","1,300.00","1,029.00","1,008.00",821.00
Capital Expenditures,(605.00),(661.00),(591.00),(459.00),(482.00)
"Other Investing Cash Flow Items, Total",147.00,(701.00),(152.00),11.00,(182.00)
Cash from Investing Activities,(458.00),"(1,362.00)",(743.00),(448.00),(664.00)
Financing Cash Flow Items,(36.00),(58.00),(37.00),(37.00),(4.00)
Total Cash Dividends Paid,(168.00),(190.00),(176.00),(155.00),(176.00)
"Issuance (Retirement) of Stock, Net",(18.00),(31.00),1.00,(14.00),45.00
"Issuance (Retirement) of Debt, Net",(313.00),343.00,(56.00),398.00,(121.00)
Cash from Financing Activities,(535.00),64.00,(268.00),192.00,(256.00)
Foreign Exchange Effects,58.00,(36.00),(15.00),63.00,11.00
Net Change in Cash,180.00,(34.00),3.00,815.00,(88.00)
