,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"4,517.91","4,756.46","4,740.49","4,037.37","2,699.66"
Total Revenue,"4,517.91","4,756.46","4,740.49","4,037.37","2,699.66"
"Cost of Revenue, Total","1,996.72","2,120.29","2,230.05","1,778.81","1,021.24"
Gross Profit,"2,521.20","2,636.17","2,510.44","2,258.57","1,678.42"
"Selling/General/Admin. Expenses, Total",896.85,886.69,857.00,845.74,557.44
Depreciation/Amortization,77.48,78.07,27.51,22.55,14.71
"Interest Exp.(Inc.),Net-Operating, Total",(65.99),(46.34),(49.75),(33.13),(28.49)
Unusual Expense (Income),(0.03),0.01,0.11,2.75,1.04
"Other Operating Expenses, Total",389.34,422.71,513.94,453.54,306.23
Total Operating Expense,"3,294.37","3,461.43","3,578.87","3,070.27","1,872.16"
Operating Income,"1,223.54","1,295.03","1,161.62",967.10,827.50
Net Income Before Taxes,"1,223.54","1,295.03","1,161.62",967.10,827.50
Provision for Income Taxes,316.57,335.71,306.79,285.91,258.36
Net Income After Taxes,906.97,959.32,854.83,681.19,569.15
Minority Interest,2.83,(0.04),0.18,0.10,(0.88)
Net Income Before Extra. Items,909.80,959.28,855.00,681.29,568.26
Net Income,909.80,959.28,855.00,681.29,568.26
Income Available to Com Excl ExtraOrd,909.80,959.28,855.00,681.29,568.27
Income Available to Com Incl ExtraOrd,909.80,959.28,855.00,681.29,568.27
Diluted Net Income,909.80,959.28,855.00,681.29,568.27
Diluted Weighted Average Shares,202.22,201.77,201.59,192.40,172.31
Diluted EPS Excluding ExtraOrd Items,4.50,4.75,4.24,3.54,3.30
DPS - Common Stock Primary Issue,2.90,0.00,2.90,2.50,2.20
Diluted Normalized EPS,4.50,4.75,4.24,3.55,3.30
"Other, Net",0.00,0.00,--,--,--
Total Adjustments to Net Income,0.00,0.00,0.00,(0.00),--
