,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"3,235.00","2,363.00","2,506.00","2,252.10","1,634.30"
Cash & Equivalents,47.00,50.00,40.00,8.00,382.20
Cash and Short Term Investments,"3,282.00","2,413.00","2,546.00","2,260.10","2,016.50"
"Accounts Receivable - Trade, Net","2,717.00","2,752.00","2,876.00","2,660.30","2,743.50"
"Total Receivables, Net","3,463.00","3,546.00","3,753.00","3,355.80","3,541.60"
Total Inventory,141.00,104.00,133.00,95.20,84.40
Prepaid Expenses,787.00,722.00,703.00,400.60,472.20
"Other Current Assets, Total",143.00,113.00,"1,252.00",324.20,259.60
Total Current Assets,"7,816.00","6,898.00","8,387.00","6,435.90","6,374.30"
"Property/Plant/Equipment, Total - Gross","2,346.00","2,360.00","1,640.00","1,649.90","1,716.90"
"Accumulated Depreciation, Total",(697.00),(725.00),(914.00),(957.10),(957.30)
"Property/Plant/Equipment, Total - Net","1,649.00","1,636.00",725.00,692.80,759.60
"Goodwill, Net","6,140.00","6,037.00","8,863.00","4,384.40","4,184.90"
"Intangibles, Net","1,391.00","1,675.00","2,813.00","1,309.50","1,362.40"
Long Term Investments,667.00,"1,847.00",212.00,166.70,157.10
"Other Long Term Assets, Total",464.00,556.00,576.00,495.10,562.00
Total Assets,"18,127.00","18,649.00","21,576.00","13,484.40","13,400.30"
Accounts Payable,"2,230.00","2,278.00","2,462.00","2,060.00","2,064.20"
Accrued Expenses,947.00,898.00,"1,148.00","1,124.80","1,220.00"
Notes Payable/Short Term Debt,0.00,10.00,174.00,10.00,9.80
Current Port. of LT Debt/Capital Leases,"1,443.00","1,834.00",863.00,701.80,169.00
"Other Current liabilities, Total","1,251.00","1,293.00","2,533.00","1,534.30","1,732.10"
Total Current Liabilities,"5,871.00","6,313.00","7,180.00","5,430.90","5,195.10"
Long Term Debt,"2,669.00","2,651.00","4,372.00","1,233.50","1,488.70"
Capital Lease Obligations,975.00,927.00,9.00,7.80,20.80
Total Long Term Debt,"3,644.00","3,578.00","4,381.00","1,241.30","1,509.50"
Total Debt,"5,087.00","5,422.00","5,418.00","1,953.10","1,688.30"
Deferred Income Tax,164.00,238.00,421.00,119.00,135.50
Minority Interest,10.00,12.00,"2,027.00",564.10,519.40
"Other Liabilities, Total","1,577.00","1,433.00","1,493.00","1,467.20","1,725.00"
Total Liabilities,"11,266.00","11,574.00","15,502.00","8,822.50","9,084.50"
"Common Stock, Total",110.00,109.00,107.00,105.40,104.90
Additional Paid-In Capital,"1,476.00","1,441.00","2,862.00","2,740.20","2,713.10"
Retained Earnings (Accumulated Deficit),"6,007.00","5,677.00","3,390.00","2,098.50","1,527.20"
"Other Equity, Total",(732.00),(152.00),(285.00),(282.20),(29.40)
Total Equity,"6,861.00","7,075.00","6,074.00","4,661.90","4,315.80"
Total Liabilities & Shareholders' Equity,"18,127.00","18,649.00","21,576.00","13,484.40","13,400.30"
Total Common Shares Outstanding,109.94,108.63,106.83,105.11,104.71
"Tangible Book Value per Share, Common Eq",(6.09),(5.86),(52.44),(9.82),(11.76)
