,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,599.00,452.00,564.00,812.90,771.70
Depreciation/Depletion,684.00,670.00,336.00,448.40,414.20
Amortization,153.00,157.00,107.00,109.00,106.10
Non-Cash Items,(42.00),214.00,(368.00),24.50,(134.60)
Cash Taxes Paid,113.00,99.00,80.00,132.70,130.60
Cash Interest Paid,33.00,64.00,30.00,23.60,20.30
Changes in Working Capital,(175.00),(228.00),(176.00),(157.60),(138.50)
Cash from Operating Activities,"1,219.00","1,265.00",463.00,"1,237.20","1,018.90"
Capital Expenditures,(320.00),(324.00),(371.00),(526.30),(455.80)
"Other Investing Cash Flow Items, Total",939.00,634.00,"(3,106.00)",(367.80),(724.40)
Cash from Investing Activities,619.00,310.00,"(3,477.00)",(894.10),"(1,180.20)"
Financing Cash Flow Items,(48.00),(63.00),(35.00),(2.40),0.40
Total Cash Dividends Paid,0.00,(55.00),(68.00),(167.60),(47.30)
"Issuance (Retirement) of Stock, Net",(9.00),(95.00),(44.00),(41.00),25.40
"Issuance (Retirement) of Debt, Net",(811.00),"(1,411.00)","3,285.00",301.40,269.70
Cash from Financing Activities,(868.00),"(1,624.00)","3,138.00",90.40,248.20
Foreign Exchange Effects,(163.00),5.00,(24.00),(151.00),(13.80)
Net Change in Cash,807.00,(44.00),100.00,282.50,73.10
