TITLE,SUMMARY,DATE
Atos Joins AI4cities,"June 9 (Reuters) - Atos SE <ATOS.PA>::ATOS JOINS AI4CITIES, THE EUROPEAN PROJECT TO ACCELERATE THE TRANSITION OF CITIES TO CARBON NEUTRALITY.ATOS HAS BEEN SELECTED FOR PHASE 1 OF AI4CITIES: PRE-COMMERCIAL PROCUREMENT (PCP) PROCESS.TOTAL FUNDING FOR THIS PROJECT, WHICH WILL BE DIVIDED AMONG SELECTED SUPPLIERS THROUGHOUT WHOLE PCP PROCESS, IS 4.6 MILLION EUROS.",4 days ago
"Atos, Huma Enter Into Five-Year Partnership","June 3 (Reuters) - Atos SE <ATOS.PA>::ATOS AND HUMA ENTER INTO FIVE-YEAR PARTNERSHIP TO IMPROVE HEALTHCARE AND RESEARCH WITH INNOVATIVE REMOTE MONITORING TECHNOLOGIES.THIS WILL INCLUDE INVESTMENT BY ATOS WORTH UP TO EUR 20 MILLION SPLIT ACROSS RESEARCH AND DEVELOPMENT AND GO-TO-MARKET RESOURCES, INCLUDING DEDICATED CONSULTING AND SALES PERSONNEL.COMPANIES CONSERVATIVELY EXPECT COMBINED SERVICE WILL REACH EUR 100M REVENUE PER YEAR WITHIN FIRST FOUR YEARS..",9 days ago
Atos And Huma Enter Into Five-Year Partnership,"June 3 (Reuters) - ATOS SE <ATOS.PA>::ATOS AND HUMA ENTER INTO FIVE-YEAR PARTNERSHIP TO IMPROVE HEALTHCARE AND RESEARCH WITH INNOVATIVE REMOTE MONITORING TECHNOLOGIES.WILL INCLUDE INVESTMENT BY ATOS WORTH UP TO EUR 20 MILLION SPLIT ACROSS RESEARCH AND DEVELOPMENT AND GO-TO-MARKET RESOURCES, INCLUDING DEDICATED CONSULTING AND SALES PERSONNEL.INVESTMENT IN RESEARCH AND DEVELOPMENT WILL FAST-TRACK INTEGRATION OF HUMA PLATFORM WITH OTHER LEADING CLINICAL PLATFORMS, AS WELL AS DEVELOP A DEDICATED VIDEO MODULE.EARLY STAGE EVIDENCE HAS SHOWN HUMA'S SERVICE, WHICH HAS ALREADY BEEN OPERATING NATIONALLY ACROSS GERMANY, ENGLAND AND UAE, CAN ALMOST DOUBLE HOSPITAL CAPACITY.COMPANIES CONSERVATIVELY EXPECT COMBINED SERVICE WILL REACH EUR 100M REVENUE PER YEAR WITHIN FIRST FOUR YEARS.",10 days ago
Atos Signs Major Contract To Further Develop SICS,"June 1 (Reuters) - Atos SE <ATOS.PA>::ATOS SUCCESSFULLY DELIVERS SICS, THE COMMAND AND CONTROL SYSTEM FOR THE SCORPION PROGRAM, TO THE FRENCH DEFENSE PROCUREMENT AGENCY AND SIGNS MAJOR CONTRACT TO FURTHER DEVELOP SOLUTION.AMOUNT COMMITTED UNDER THIS NEW 12-YEAR CONTRACT CONSISTS OF SEVERAL TENS OF MILLIONS OF EUROS.",12 days ago
"Atos Awarded Contract To Deliver Its Most Efficient Supercomputer, BullSequana XH2000","June 1 (Reuters) - ATOS SE <ATOS.PA>::ATOS SUPERCOMPUTER TO HELP UNLOCK SECRETS OF THE UNIVERSE.HAS BEEN AWARDED A CONTRACT BY UNIVERSITY OF EDINBURGH TO DELIVER ITS MOST EFFICIENT SUPERCOMPUTER, BULLSEQUANA XH2000, MOST ENERGY-EFFICIENT SUPERCOMPUTING SYSTEM ON MARKET.THIS IS LARGEST SYSTEM DEDICATED TO GPU COMPUTING DEPLOYED AT A CUSTOMER SITE IN UK.THIS AGREEMENT FORMS PART OF A £20 MILLION INVESTMENT BY UK RESEARCH AND INNOVATION (UKRI) WORLD CLASS LABORATORIES SCHEME.",12 days ago
Atos Signs Partnership With Flemish Government,May 25 (Reuters) - Atos SE <ATOS.PA>::FLEMISH GOVERNMENT CHOOSES ATOS AS DIGITAL PARTNER TO TRANSFORM FLANDERS INTO ONE OF THE MOST INNOVATIVE REGIONS IN EUROPE.AGREEMENT BETWEEN ATOS AND FLEMISH GOVERNMENT IS ESTIMATED TO BE LARGEST OUTSOURCING FRAMEWORK CONTRACT IN BENELUX.,18 days ago
Atos Gets Contract On New Cloud Tolling Systems For Cintra,"May 20 (Reuters) - ATOS SE <ATOS.PA>::ANNOUNCES A 3-YEAR CONTRACT TO IMPLEMENT NEW CLOUD TOLLING SYSTEMS, AND RELATED MODERNIZATION AND MANAGED SERVICES, FOR CINTRA.",24 days ago
Atos Signs Cloud-Based Solution Contract With Orange Bank,May 10 (Reuters) - Atos SE <ATOS.PA>::ORANGE BANK CHOOSES ATOS TO SUPPORT THE EVOLUTION AND SECURITY OF ITS EMPLOYEES' WORK ENVIRONMENT.CONTRACT WITH ORANGE BANK TO MANAGE AND SECURE THE DIGITAL WORKPLACE OF ALL ITS EMPLOYEES WORLDWIDE.,a month ago
Atos And Inria Sign Strategic Partnership Agreement,April 22 (Reuters) - ATOS SE <ATOS.PA>::ATOS AND INRIA SIGN STRATEGIC PARTNERSHIP AGREEMENT AND STRENGTHEN THEIR COLLABORATION IN INNOVATION.,2 months ago
"Atos: NY Court Reduces Damages Award In Cognizant, TriZetto Case","April 21 (Reuters) - Atos SE <ATOS.PA>::UNITED STATES DISTRICT COURT FOR SOUTHERN DISTRICT OF NEW YORK GRANTED IN PART POST-TRIAL MOTION FILED BY SYNTEL.THIS IS IN CONNECTION WITH SYNTEL'S ONGOING LITIGATION WITH COGNIZANT AND ITS SUBSIDIARY TRIZETTO.COURT REDUCED JURY'S $855 MILLION DAMAGES AWARD TO $570 MILLION AND DENIED COGNIZANT AND TRIZETTO'S REQUEST FOR AN ADDITIONAL $75 MILLION IN PRE-JUDGMENT INTEREST..IN ITS DECISION, COURT HELD THAT SUFFICIENT EVIDENCE EXISTED TO SUPPORT JURY'S VERDICT OF TRADE SECRET MISAPPROPRIATION.JURY'S AWARD OF $285 MILLION IN COMPENSATORY DAMAGES WAS NOT CONTRARY TO LAW..COURT FOUND THAT JURY'S $570 MILLION PUNITIVE DAMAGES AWARD WAS EXCESSIVE AND SHOULD BE REDUCED TO $285 MILLION.IF TRIZETTO DOES NOT AGREE TO THIS REDUCTION, COURT WILL GRANT SYNTEL A NEW TRIAL ON PUNITIVE DAMAGES.COURT ALSO HELD THAT IT WILL ENTER AN INJUNCTION PROHIBITING FUTURE USE BY SYNTEL OF SPECIFIC TRADE SECRETS AT ISSUE IN TRIAL.ATOS PLANS TO APPEAL PORTION OF JURY'S VERDICT AFFIRMED BY COURT.ATOS CONTINUES TO CONSIDER AMOUNT OF DAMAGES GROSSLY OUT OF PROPORTION TO ACTS COMPLAINED OF.CONSIDERS THAT MAXIMUM AMOUNT OF DAMAGES LEGALLY AVAILABLE TO TRIZETTO IN THIS CASE IS APPROXIMATELY $8.5 MILLION.",2 months ago
