NAME,AGE,POSITION,APPOINTED
Christian Aubert,73,Chairman Of The Board,2003
Philippe Rabasse,--,"Chief Executive Officer, Director",2004
David Fuks,--,"Deputy Chief Executive Officer, Chief Financial Officer",2021
Vincent Gauthier,--,"Deputy Chief Executive Officer, Chief Legal Officer, Director",--
Christophe Andrieux,--,"Deputy Chief Executive Officer, Chief Executive Officer - Belgium",2019
Philippe Cornette,--,"Deputy Chief Executive Officer, Chief Executive Officer - France",2017
Paolo Riccardi,--,"Deputy Chief Executive Officer, Chief Executive Officer - Italy",2020
Christian Meunier,--,Managing Partner For France,--
Joao Bexiga,--,Chief Executive Officer - Portugal,--
Christophe Davreux,--,Chief Executive Officer - Luxembourg,2019
Gerard Lucente,--,Chief Executive Officer - Spain,2001
Rick Tolfrey,--,Chief Executive Officer - United Kingdom,2019
Patrice Ferrari,--,Director Representing The Employees,2018
Sophie Lazarevitch,--,Independent Director,2013
Helene Van Heems,--,Independent Director,2017
