,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,36.07,15.16,18.77,25.61,12.06
Cash & Equivalents,8.27,4.83,13.74,7.00,11.02
Cash and Short Term Investments,44.34,19.98,32.51,32.61,23.08
"Accounts Receivable - Trade, Net",23.50,23.00,28.22,33.00,24.43
"Total Receivables, Net",30.44,28.73,35.07,40.07,29.27
Total Inventory,27.39,24.69,27.44,26.24,27.50
Prepaid Expenses,0.18,0.18,0.33,0.29,0.28
Total Current Assets,102.35,73.58,95.35,99.21,80.13
"Property/Plant/Equipment, Total - Gross",139.63,118.79,124.57,120.66,117.34
"Accumulated Depreciation, Total",(92.11),(67.05),(74.62),(69.40),(64.14)
"Property/Plant/Equipment, Total - Net",47.52,51.74,49.95,51.26,53.20
"Goodwill, Net",10.34,11.92,11.92,11.92,11.67
"Intangibles, Net",0.64,0.71,0.74,0.87,1.08
Long Term Investments,1.43,1.35,1.25,1.27,1.17
"Other Long Term Assets, Total",0.86,1.64,0.11,0.03,0.05
Total Assets,163.13,140.93,159.32,164.57,147.30
Accounts Payable,21.65,17.59,19.58,21.80,19.65
Accrued Expenses,9.00,5.54,6.55,9.81,6.11
Notes Payable/Short Term Debt,0.06,0.04,0.10,1.42,0.88
Current Port. of LT Debt/Capital Leases,29.65,9.18,19.83,4.33,3.44
"Other Current liabilities, Total",11.76,11.41,13.35,15.65,12.39
Total Current Liabilities,72.11,43.75,59.40,53.02,42.47
Long Term Debt,28.58,27.09,13.99,26.17,20.89
Capital Lease Obligations,2.32,3.28,--,--,--
Total Long Term Debt,30.90,30.37,13.99,26.17,20.89
Total Debt,60.60,39.59,33.91,31.93,25.22
Deferred Income Tax,2.73,4.54,4.60,5.37,8.17
Minority Interest,0.05,0.05,0.04,0.03,0.01
"Other Liabilities, Total",2.05,2.19,2.22,2.51,2.39
Total Liabilities,107.84,80.90,80.25,87.09,73.93
"Common Stock, Total",11.89,11.89,14.42,14.22,14.03
Additional Paid-In Capital,8.74,9.00,20.25,19.12,18.42
Retained Earnings (Accumulated Deficit),37.61,42.37,45.79,44.73,41.73
Treasury Stock - Common,(2.94),(3.22),(1.38),(0.60),(0.82)
"Other Equity, Total",(0.00),0.00,(0.00),--,--
Total Equity,55.30,60.03,79.08,77.48,73.37
Total Liabilities & Shareholders' Equity,163.13,140.93,159.32,164.57,147.30
Total Common Shares Outstanding,9.39,9.36,11.91,11.73,11.54
"Tangible Book Value per Share, Common Eq",4.72,5.07,5.58,5.51,5.25
"Other Current Assets, Total",(0.00),--,--,--,--
