,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(4.65),(1.41),2.77,4.18,0.59
Depreciation/Depletion,9.86,8.35,6.70,6.67,5.71
Non-Cash Items,0.11,1.58,2.16,0.96,0.54
Cash Taxes Paid,(0.44),1.05,3.95,0.76,1.13
Changes in Working Capital,3.15,2.76,(5.67),(2.87),1.76
Cash from Operating Activities,8.48,11.29,5.96,8.94,8.59
Capital Expenditures,(3.95),(4.68),(5.94),(4.52),(6.33)
"Other Investing Cash Flow Items, Total",0.02,(0.02),0.08,0.46,0.35
Cash from Investing Activities,(3.92),(4.69),(5.86),(4.07),(5.99)
Financing Cash Flow Items,(0.74),(1.45),(0.90),(1.08),(0.98)
Total Cash Dividends Paid,0.00,(1.72),(1.76),(1.15),(1.14)
"Issuance (Retirement) of Stock, Net",0.28,(15.87),0.49,1.27,0.34
"Issuance (Retirement) of Debt, Net",20.24,(0.03),3.30,5.08,2.17
Cash from Financing Activities,19.78,(19.07),1.13,4.12,0.39
Net Change in Cash,24.34,(12.48),1.23,9.00,3.00
