,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,144.46,184.85,217.14,203.49,160.44
Total Revenue,144.46,184.85,217.14,203.49,160.44
"Cost of Revenue, Total",112.63,146.31,176.20,164.01,128.62
Gross Profit,31.83,38.54,40.94,39.48,31.82
"Selling/General/Admin. Expenses, Total",26.49,29.85,29.52,30.32,25.40
Depreciation/Amortization,8.90,8.66,7.06,6.62,6.17
Unusual Expense (Income),1.84,1.12,0.57,0.46,(0.35)
"Other Operating Expenses, Total",(0.47),(0.83),(0.53),(2.57),(0.52)
Total Operating Expense,149.38,185.11,212.83,198.84,159.32
Operating Income,(4.92),(0.26),4.31,4.65,1.12
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.58),(1.16),(0.80),(0.88),(0.40)
"Other, Net",0.00,0.02,(0.36),(0.54),--
Net Income Before Taxes,(5.50),(1.40),3.51,3.77,0.36
Provision for Income Taxes,(0.86),0.01,0.74,(0.41),(0.23)
Net Income After Taxes,(4.65),(1.41),2.77,4.18,0.59
Minority Interest,0.00,(0.01),(0.01),(0.02),(0.02)
Net Income Before Extra. Items,(4.65),(1.42),2.76,4.16,0.57
Net Income,(4.65),(1.42),2.76,4.16,0.57
Income Available to Com Excl ExtraOrd,(4.65),(1.42),2.76,4.16,0.57
Income Available to Com Incl ExtraOrd,(4.65),(1.42),2.76,4.16,0.57
Diluted Net Income,(4.65),(1.42),2.76,4.16,0.57
Diluted Weighted Average Shares,9.39,9.32,11.74,11.65,11.43
Diluted EPS Excluding ExtraOrd Items,(0.49),(0.15),0.24,0.36,0.05
DPS - Common Stock Primary Issue,0.10,0.00,0.15,0.15,0.10
Diluted Normalized EPS,(0.37),(0.07),0.27,0.38,0.03
Equity In Affiliates,0.00,0.00,--,--,--
Total Extraordinary Items,0.00,(0.92),--,--,--
Total Adjustments to Net Income,(0.00),--,--,--,--
