,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17,31-Mar-16
Cash & Equivalents,118.15,14.21,16.63,8.51,8.42
Cash and Short Term Investments,118.15,14.21,16.63,8.51,8.42
"Accounts Receivable - Trade, Net",65.08,61.55,54.10,47.85,38.80
"Total Receivables, Net",83.57,73.71,60.62,59.99,55.30
Total Inventory,66.05,57.65,51.66,48.40,51.42
Prepaid Expenses,4.77,4.94,3.58,3.55,3.69
"Other Current Assets, Total",(0.00),(0.00),--,--,--
Total Current Assets,272.53,150.51,132.49,120.46,118.83
"Property/Plant/Equipment, Total - Gross",32.06,30.67,28.49,28.51,28.20
"Accumulated Depreciation, Total",(18.88),(17.25),(14.74),(14.15),(12.71)
"Property/Plant/Equipment, Total - Net",13.18,13.42,13.75,14.36,15.49
"Goodwill, Net",63.91,58.29,35.92,35.92,35.92
"Intangibles, Net",86.23,66.19,36.90,30.88,25.36
Long Term Investments,1.49,0.96,1.18,0.58,0.69
"Other Long Term Assets, Total",3.37,2.58,3.56,5.25,7.09
Total Assets,440.71,291.95,223.80,207.44,203.38
Accounts Payable,37.78,40.36,33.36,32.21,24.19
Accrued Expenses,10.09,10.28,7.75,9.06,9.42
Notes Payable/Short Term Debt,5.10,4.93,6.25,11.76,16.02
Current Port. of LT Debt/Capital Leases,19.12,9.57,3.28,3.87,10.31
"Other Current liabilities, Total",25.55,21.61,16.95,12.54,18.78
Total Current Liabilities,97.63,86.75,67.61,69.44,78.72
Long Term Debt,50.31,32.36,12.17,0.70,2.79
Capital Lease Obligations,4.99,3.56,4.56,5.40,6.47
Total Long Term Debt,55.30,35.91,16.73,6.10,9.27
Total Debt,79.51,50.41,26.27,21.73,35.60
Deferred Income Tax,4.11,3.73,4.06,5.43,5.87
Minority Interest,43.77,--,--,--,--
"Other Liabilities, Total",1.31,1.21,0.80,0.48,0.50
Total Liabilities,202.12,127.60,89.20,81.45,94.36
"Common Stock, Total",39.44,39.00,36.73,36.45,32.83
Additional Paid-In Capital,34.46,43.44,33.48,33.48,29.86
Retained Earnings (Accumulated Deficit),163.77,81.31,64.30,55.27,45.76
"Other Equity, Total",0.92,0.61,0.10,0.80,0.58
Total Equity,238.59,164.35,134.60,125.99,109.02
Total Liabilities & Shareholders' Equity,440.71,291.95,223.80,207.44,203.38
Total Common Shares Outstanding,19.70,19.48,18.34,18.19,16.38
"Tangible Book Value per Share, Common Eq",4.49,2.05,3.37,3.25,2.92
