,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17,31-Mar-16
Revenue,263.50,245.50,245.41,208.07,202.22
Total Revenue,263.50,245.50,245.41,208.07,202.22
"Cost of Revenue, Total",174.66,166.70,184.47,157.59,158.03
Gross Profit,88.84,78.80,60.94,50.48,44.19
"Selling/General/Admin. Expenses, Total",37.45,34.79,31.78,30.16,27.38
Research & Development,0.53,0.47,0.37,0.39,0.51
Depreciation/Amortization,28.81,23.21,13.32,9.59,9.16
"Interest Exp.(Inc.),Net-Operating, Total",0.00,0.09,(0.06),0.02,--
Unusual Expense (Income),0.00,(0.01),(0.01),(0.01),(0.17)
"Other Operating Expenses, Total",1.22,(2.07),0.68,(0.24),0.02
Total Operating Expense,242.68,223.18,230.54,197.50,194.93
Operating Income,20.82,22.32,14.87,10.56,7.29
"Interest Inc.(Exp.),Net-Non-Op., Total",(1.08),0.46,(2.78),1.60,(1.67)
"Other, Net",(0.00),0.00,--,--,--
Net Income Before Taxes,19.74,22.78,12.09,12.16,5.62
Provision for Income Taxes,3.49,5.43,3.16,3.01,1.49
Net Income After Taxes,16.25,17.35,8.93,9.15,4.13
Minority Interest,(0.13),0.00,--,--,--
Net Income Before Extra. Items,16.12,17.35,8.93,8.95,3.90
Net Income,16.12,17.35,8.93,8.95,3.90
Income Available to Com Excl ExtraOrd,16.12,17.35,8.93,8.95,3.90
Income Available to Com Incl ExtraOrd,16.12,17.35,8.93,8.95,3.90
Dilution Adjustment,0.13,(0.00),--,--,--
Diluted Net Income,16.25,17.35,8.93,8.95,3.90
Diluted Weighted Average Shares,19.90,19.34,18.43,17.89,16.37
Diluted EPS Excluding ExtraOrd Items,0.82,0.90,0.48,0.50,0.24
DPS - Common Stock Primary Issue,0.00,0.20,0.20,0.00,0.00
Diluted Normalized EPS,0.82,0.90,0.48,0.50,0.23
Equity In Affiliates,(0.20),(0.23),--,--,--
