NAME,AGE,POSITION,APPOINTED
Alain Falc,59,"Chairman Of The Board, Chief Executive Officer, Member Of The Executive Committee And Group Management Committee",1988
Laurent Honoret,--,"Deputy Chief Executive Officer, Member Of The Executive Committee",2015
Anne-Catherine Moulin,--,"Group Financial Director, Member Of The Executive Committee",--
Yannick Allaert,--,"Director Of Development And Purchasing Of Gaming Accessories, Head Of BBI HK Ltd, Member Of The Executive Committee",2017
Francois Penin,--,"Head Of Logistics Europe, Member Of The Executive Committee",2012
Francois Bozon,--,"Secretary General, Member Of The Executive Committee",--
Jacqueline De Vrieze,--,"Member Of The Executive Committee, Head Of GAMES.FR, Director",2017
Michel Bassot,--,"Group Director Mobile Accessories, Deputy CEO Of Bigben Connected SAS, Member Of The Executive Committee",--
Benoit Clerc,--,"Group Director Video Games, Member Of The Executive Committee",--
Ottaviano Di Bernado,--,"Head Of BBI Italia SRL, Member Of The Executive Committee",--
Axel Florizoone,--,"Head Of BBI GmbH, Member Of The Executive Committee",--
Daniel Janssens,--,"Head Of BBI Belgium SA, Member Of The Executive Committee",--
Fabrice Lemesre,--,"Director Of Development And Purchasing AUDIO, Member Of The Executive Committee",--
Gemma Pelaez,--,"Head Of BBI Espana SL, Member Of The Executive Committee",--
Sebastien Bollore,43,Director,2010
Sylvie Pannetier,46,Director,2015
Jean Christophe Thiery,51,Director,2012
Jean-Marie De Cherade,65,Independent Director,2010
Florence Lagrange,47,Independent Director,2017
