,31-Dec-20,31-Dec-19
Cash,147.54,148.17
Cash & Equivalents,118.21,50.39
Short Term Investments,0.00,4.06
Cash and Short Term Investments,265.75,202.61
"Accounts Receivable - Trade, Net",344.98,499.38
"Total Receivables, Net",420.78,568.44
Total Inventory,379.02,455.64
"Other Current Assets, Total",40.27,16.32
Total Current Assets,"1,105.81","1,243.02"
"Property/Plant/Equipment, Total - Gross","1,987.20","2,034.34"
"Accumulated Depreciation, Total","(1,373.82)","(1,320.85)"
"Property/Plant/Equipment, Total - Net",613.37,713.49
"Goodwill, Net",243.83,203.71
"Intangibles, Net",66.00,53.98
Long Term Investments,1.45,1.69
"Other Long Term Assets, Total",138.97,176.31
Total Assets,"2,169.44","2,392.19"
Accounts Payable,99.47,126.40
Accrued Expenses,96.90,213.78
Notes Payable/Short Term Debt,76.01,51.71
Current Port. of LT Debt/Capital Leases,13.97,13.82
"Other Current liabilities, Total",176.70,82.75
Total Current Liabilities,463.05,488.45
Long Term Debt,4.71,2.90
Capital Lease Obligations,23.28,29.43
Total Long Term Debt,27.99,32.33
Total Debt,117.96,97.86
Deferred Income Tax,60.91,55.37
Minority Interest,0.00,0.00
"Other Liabilities, Total",161.28,207.95
Total Liabilities,713.23,784.11
"Common Stock, Total",171.81,171.87
Additional Paid-In Capital,17.79,--
Retained Earnings (Accumulated Deficit),"1,509.44","1,375.05"
"Other Equity, Total",(242.82),61.16
Total Equity,"1,456.21","1,608.08"
Total Liabilities & Shareholders' Equity,"2,169.44","2,392.19"
Total Common Shares Outstanding,44.98,44.99
"Tangible Book Value per Share, Common Eq",25.49,30.01
