,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,402.70,269.70,255.60,237.50,179.20
Depreciation/Depletion,210.80,189.50,177.00,140.50,143.10
Non-Cash Items,159.00,45.50,12.30,31.90,68.40
Cash Taxes Paid,115.90,81.60,66.50,91.50,81.50
Changes in Working Capital,(189.70),(96.80),(45.20),(68.60),(55.10)
Cash from Operating Activities,582.80,407.90,399.70,341.30,335.60
Capital Expenditures,(277.50),(272.50),(226.40),(183.50),(233.00)
"Other Investing Cash Flow Items, Total",12.30,(9.70),(186.70),3.10,(24.20)
Cash from Investing Activities,(265.20),(282.20),(413.10),(180.40),(257.20)
Financing Cash Flow Items,(2.40),(23.40),0.00,(11.60),(17.50)
Total Cash Dividends Paid,(22.50),(41.30),(40.20),(39.40),(39.50)
"Issuance (Retirement) of Stock, Net",(16.80),0.00,(22.30),(0.90),(14.10)
"Issuance (Retirement) of Debt, Net",(134.50),(69.20),105.50,(0.60),18.60
Cash from Financing Activities,(176.20),(133.90),43.00,(52.50),(52.50)
Foreign Exchange Effects,(34.10),(6.10),(11.80),5.40,(15.90)
Net Change in Cash,107.30,(14.30),17.80,113.80,10.00
Cash Interest Paid,17.60,24.60,--,--,--
