,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"3,118.20","2,674.80","2,421.30","2,288.20","2,103.20"
Total Revenue,"3,118.20","2,674.80","2,421.30","2,288.20","2,103.20"
"Cost of Revenue, Total","1,364.50","1,208.20","1,119.00","1,076.40","1,002.50"
Gross Profit,"1,753.70","1,466.60","1,302.30","1,211.80","1,100.70"
"Selling/General/Admin. Expenses, Total",789.30,749.80,643.10,603.90,569.50
Research & Development,398.80,374.30,326.90,304.40,271.90
Depreciation/Amortization,17.50,17.90,17.50,18.20,18.70
Unusual Expense (Income),0.60,0.20,(9.00),27.80,--
"Other Operating Expenses, Total",(4.70),(46.10),(31.30),(29.60),(32.00)
Total Operating Expense,"2,566.00","2,304.10","2,075.20","1,973.50","1,821.60"
Operating Income,552.20,370.70,346.10,314.70,281.60
"Interest Inc.(Exp.),Net-Non-Op., Total",(29.10),(23.80),(26.70),(23.10),(22.90)
"Other, Net",1.20,0.70,(1.90),0.90,0.60
Net Income Before Taxes,524.30,347.60,317.50,292.50,259.30
Provision for Income Taxes,121.50,77.80,65.10,54.50,79.80
Net Income After Taxes,402.80,269.80,252.40,238.00,179.50
Minority Interest,1.70,3.10,1.10,0.60,(0.10)
Equity In Affiliates,(0.20),0.00,0.20,(0.40),(0.20)
Net Income Before Extra. Items,404.30,272.90,253.70,238.20,179.20
Net Income,404.30,272.90,253.70,238.20,179.20
Total Adjustments to Net Income,0.10,(0.10),2.80,(0.10),(0.10)
Income Available to Com Excl ExtraOrd,404.40,272.80,256.50,238.10,179.10
Income Available to Com Incl ExtraOrd,404.40,272.80,256.50,238.10,179.10
Diluted Net Income,404.40,272.80,256.50,238.10,179.10
Diluted Weighted Average Shares,118.59,118.61,118.20,118.13,118.05
Diluted EPS Excluding ExtraOrd Items,3.41,2.30,2.17,2.02,1.52
DPS - Common Stock Primary Issue,0.62,0.19,0.35,0.34,0.33
Diluted Normalized EPS,3.41,2.30,2.17,2.02,1.46
Dilution Adjustment,0.00,--,--,--,--
