,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"9,822.00","11,394.00","10,208.00","11,310.00","11,210.00"
Depreciation/Depletion,"6,325.00","6,108.00","5,144.00","4,550.00","4,444.00"
Non-Cash Items,450.00,"8,890.00","5,229.00","15,714.00","7,974.00"
Cash Taxes Paid,"2,589.00","1,934.00","1,236.00","1,873.00","2,139.00"
Changes in Working Capital,"122,727.00","(77,229.00)","(21,799.00)","(2,607.00)","2,033.00"
Cash from Operating Activities,"139,324.00","(50,837.00)","(1,218.00)","28,967.00","25,661.00"
Capital Expenditures,(773.00),"(1,998.00)","(1,827.00)","(1,347.00)","(1,485.00)"
"Other Investing Cash Flow Items, Total",(78.00),"1,675.00","3,152.00",527.00,468.00
Cash from Investing Activities,(851.00),(323.00),"1,325.00",(820.00),"(1,017.00)"
Financing Cash Flow Items,"18,524.00","23,913.00","9,598.00",220.00,"(1,565.00)"
Total Cash Dividends Paid,0.00,"(3,772.00)","(3,772.00)","(3,369.00)","(2,877.00)"
Cash from Financing Activities,"18,524.00","20,141.00","5,826.00","(3,149.00)","(4,442.00)"
Foreign Exchange Effects,"(2,614.00)",714.00,"1,529.00","(5,900.00)","2,587.00"
Net Change in Cash,"154,383.00","(30,305.00)","7,462.00","19,098.00","22,789.00"
