NAME,AGE,POSITION,APPOINTED
Jean-Laurent L. Bonnafe,59,"Chief Executive Officer, Member Of The Executive Committee, Director",2011
Lars Antoon Henk Machenil,45,"Chief Financial Officer, Member Of The Executive Committee",2021
Yann Gerardin,--,"Chief Operating Officer, Member Of The Executive Committee, Head Of CIB",2021
Thierry Laborde,--,"Chief Operating Officer In Charge Of Retail Banking, Member Of The Executive Committee",2021
Bernard Gavgani,--,"Chief Information Officer, Member Of The Executive Committee",2021
Nathalie Hartmann,--,"Head Of Compliance Function, Member Of The Executive Committee",2017
Franck Roncey,--,"Group Chief Risk Officer, Member Of The Executive Committee",2014
Marguerite Berard-Andrieu,43,"Head Of French Retail Banking, Member Of The Executive Committee",2019
Jacques D'Estais,62,"Deputy Chief Executive Officer - International Financial Services, Member Of The Executive Board",2020
Laurent David,--,"Deputy Chief Operating Officer, Member Of Executive Committee",2021
Stefaan Decraene,57,"Head Of International Retail Banking, Member Of The Executive Committee",2011
Charlotte Dennery,--,"Chief Executive Officer Of BNP Paribas Personal Finance, Member Of Executive Committee",2021
Renaud Dumora,--,"Deputy Chief Operating Officer - Investment & Protection Services Division, Member Of The Executive Committee",2021
Elena Goitini,--,"Chief Executive Officer Of BNL, Member Of The Executive Committee",2021
Maxime Jadot,64,"Chief Executive Officer And Chairman Of The Executive Board Of BNP Paribas Fortis, Member Of The Executive Committee",2011
Yannick Jung,--,"Head Of CIB Global Banking EMEA, Member Of The Executive Committee",2021
Pauline Leclerc-Glorieux,--,"Chief Executive Officer Of BNP Paribas Cardif, Member Of The Executive Committee",2021
Sofia Merlo,--,"Head Of Group Human Resources, Member Of The Executive Committee",2020
Andrea Munari,54,"General Manager And Chief Executive Officer Of BNL, Member Of The Executive Committee",2015
Olivier Osty,--,"Head Of CIB Global Markets, Member Of The Executive Committee",2021
Sandro Pierri,--,"Chief Executive Officer - BNP Paribas Asset Management, Member Of The Executive Board",2021
Antoine Sire,--,"Head Of Corporate Engagement, Member Of The Executive Committee",2017
Jean Lemierre,70,Chairman Of The Board,2014
Sandrine Verrier,41,Director - Business Technician Employee Representative,2015
Jacques Aschenbroich,66,Independent Director,2017
Monique Cohen,65,Independent Director,2014
Pierre-Andre De Chalendar,63,Independent Director,2012
Wouter De Ploey,55,Independent Director,2016
Hugues Epaillard,54,Independent Director,2018
Rajna Gibson Brandon,58,Independent Director,2018
Marion Guillou,66,Independent Director,2013
Denis Kessler,69,Independent Director,2000
Daniela Schwarzer,47,Independent Director,2014
Michel Tilmant,68,Independent Director,2010
Jane Fields Wicker-Miurin,62,Independent Director,2011
