,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,228.95,203.76,213.59,238.91,216.18
Cash & Equivalents,5.73,4.68,3.66,36.10,28.13
Short Term Investments,8.83,4.37,5.71,4.61,6.40
Cash and Short Term Investments,243.52,212.82,222.96,279.62,250.71
"Accounts Receivable - Trade, Net",88.92,104.27,102.15,101.82,101.13
"Total Receivables, Net",97.51,113.80,107.11,107.50,107.01
Total Inventory,85.04,72.25,70.75,60.90,59.10
Prepaid Expenses,3.13,3.32,2.70,2.93,3.51
"Other Current Assets, Total",12.26,12.21,16.23,14.23,11.91
Total Current Assets,441.46,414.39,419.75,465.17,432.23
"Property/Plant/Equipment, Total - Gross",469.11,468.37,449.03,420.95,393.02
"Accumulated Depreciation, Total",(286.95),(270.62),(254.37),(242.09),(233.11)
"Property/Plant/Equipment, Total - Net",182.15,197.75,194.66,178.86,159.91
"Goodwill, Net",89.56,89.65,89.63,89.64,87.89
"Intangibles, Net",30.11,27.07,26.42,29.11,31.31
Long Term Investments,2.01,1.54,1.51,2.26,3.05
Note Receivable - Long Term,0.80,0.85,0.76,0.79,0.80
"Other Long Term Assets, Total",35.74,33.04,34.36,34.57,39.86
Total Assets,781.82,764.28,767.08,800.40,755.03
Accounts Payable,38.20,41.43,48.62,43.27,39.07
Accrued Expenses,52.89,58.79,77.21,78.52,80.17
Notes Payable/Short Term Debt,0.37,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,3.14,3.24,1.79,11.18,4.20
"Other Current liabilities, Total",81.94,34.79,37.68,26.20,32.71
Total Current Liabilities,176.55,138.25,165.29,159.17,156.15
Long Term Debt,3.29,4.54,4.21,4.79,5.06
Capital Lease Obligations,5.62,5.24,--,--,--
Total Long Term Debt,8.92,9.77,4.21,4.79,5.06
Total Debt,12.43,13.02,5.99,15.98,9.25
Deferred Income Tax,0.00,0.03,0.53,0.04,0.07
Minority Interest,0.03,(0.01),0.04,0.03,0.08
"Other Liabilities, Total",87.19,110.77,111.01,118.92,124.16
Total Liabilities,272.69,258.81,281.07,282.94,285.51
"Common Stock, Total",17.55,17.55,17.57,19.42,19.44
Additional Paid-In Capital,79.88,79.88,79.88,79.88,79.88
Retained Earnings (Accumulated Deficit),451.96,444.04,430.80,500.30,451.47
Treasury Stock - Common,(1.22),(1.22),(2.52),(70.59),(72.18)
"Other Equity, Total",(39.02),(34.77),(39.71),(11.53),(9.09)
Total Equity,509.14,505.48,486.00,517.46,469.52
Total Liabilities & Shareholders' Equity,781.82,764.28,767.08,800.40,755.03
Total Common Shares Outstanding,17.51,17.51,17.52,18.43,18.44
"Tangible Book Value per Share, Common Eq",22.24,22.20,21.12,21.63,19.00
