,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,26.21,40.63,57.46,78.24,77.73
Depreciation/Depletion,69.26,38.15,34.36,29.11,28.97
Non-Cash Items,9.48,24.26,40.00,41.42,49.47
Cash Taxes Paid,20.92,28.68,38.80,45.36,48.50
Cash Interest Paid,0.35,0.42,0.21,0.72,1.13
Changes in Working Capital,(36.68),(52.17),(47.57),(44.02),(46.04)
Cash from Operating Activities,68.27,50.86,84.25,104.75,110.13
Capital Expenditures,(20.70),(37.53),(47.68),(53.36),(34.69)
"Other Investing Cash Flow Items, Total",1.37,3.97,8.28,2.17,0.47
Cash from Investing Activities,(19.34),(33.56),(39.41),(51.18),(34.22)
Financing Cash Flow Items,0.11,0.37,0.38,(0.04),(0.20)
Total Cash Dividends Paid,(18.38),(25.39),(28.30),(29.49),(27.65)
"Issuance (Retirement) of Stock, Net",(0.00),(0.02),(63.71),0.09,(0.01)
"Issuance (Retirement) of Debt, Net",(3.25),(2.15),(0.33),0.18,0.48
Cash from Financing Activities,(21.52),(27.19),(91.96),(29.25),(27.37)
Foreign Exchange Effects,(1.05),1.02,(0.99),(0.15),0.37
Net Change in Cash,26.36,(8.87),(48.11),24.16,48.91
