,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,770.00,"1,320.00","1,450.00","1,201.00",784.00
Depreciation/Depletion,"2,316.00","2,095.00","2,081.00","1,579.00","1,760.00"
Non-Cash Items,(107.00),151.00,(455.00),31.00,(40.00)
Cash Taxes Paid,50.00,(30.00),94.00,325.00,280.00
Cash Interest Paid,220.00,264.00,273.00,226.00,222.00
Changes in Working Capital,427.00,(193.00),(493.00),(752.00),(86.00)
Cash from Operating Activities,"3,406.00","3,373.00","2,583.00","2,059.00","2,418.00"
Capital Expenditures,"(2,648.00)","(1,853.00)","(2,178.00)","(1,931.00)","(1,962.00)"
"Other Investing Cash Flow Items, Total","1,044.00","1,251.00",(906.00),450.00,"1,257.00"
Cash from Investing Activities,"(1,604.00)",(602.00),"(3,084.00)","(1,481.00)",(705.00)
Financing Cash Flow Items,(237.00),(172.00),(384.00),83.00,(228.00)
Total Cash Dividends Paid,(646.00),(631.00),(620.00),(568.00),(552.00)
"Issuance (Retirement) of Debt, Net",(138.00),"(1,392.00)",(471.00),123.00,87.00
Cash from Financing Activities,"(1,021.00)","(2,195.00)","(1,475.00)",(362.00),(693.00)
Foreign Exchange Effects,(98.00),88.00,54.00,(187.00),(29.00)
Net Change in Cash,683.00,664.00,"(1,922.00)",29.00,991.00
