,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"34,694.00","37,929.00","35,555.00","32,923.00","31,768.00"
Total Revenue,"34,694.00","37,929.00","35,555.00","32,923.00","31,768.00"
"Cost of Revenue, Total","15,395.00","17,723.00","16,621.00","15,243.00","14,767.00"
Gross Profit,"19,299.00","20,206.00","18,934.00","17,680.00","17,001.00"
"Selling/General/Admin. Expenses, Total","16,299.00","16,955.00","16,152.00","15,331.00","14,677.00"
Depreciation/Amortization,"2,191.00","2,115.00","2,017.00","1,596.00","1,599.00"
"Other Operating Expenses, Total",(315.00),(560.00),"(1,064.00)",(766.00),(222.00)
Total Operating Expense,"33,570.00","36,233.00","33,726.00","31,404.00","30,821.00"
Operating Income,"1,124.00","1,696.00","1,829.00","1,519.00",947.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(226.00),(268.00),(274.00),(226.00),(225.00)
"Other, Net",(27.00),(6.00),19.00,38.00,44.00
Net Income Before Taxes,871.00,"1,422.00","1,574.00","1,331.00",766.00
Provision for Income Taxes,317.00,452.00,426.00,299.00,249.00
Net Income After Taxes,554.00,970.00,"1,148.00","1,032.00",517.00
Minority Interest,(74.00),(136.00),(142.00),(119.00),(52.00)
Equity In Affiliates,216.00,350.00,302.00,169.00,267.00
Net Income Before Extra. Items,696.00,"1,184.00","1,308.00","1,082.00",732.00
Net Income,696.00,"1,184.00","1,308.00","1,082.00",732.00
Income Available to Com Excl ExtraOrd,696.00,"1,184.00","1,308.00","1,082.00",732.00
Income Available to Com Incl ExtraOrd,696.00,"1,184.00","1,308.00","1,082.00",732.00
Diluted Net Income,696.00,"1,181.65","1,307.51","1,082.00",732.00
Diluted Weighted Average Shares,380.22,372.76,369.35,360.67,347.92
Diluted EPS Excluding ExtraOrd Items,1.83,3.17,3.54,3.00,2.10
DPS - Common Stock Primary Issue,1.70,1.70,1.70,1.70,1.60
Diluted Normalized EPS,1.83,3.17,3.54,3.00,2.10
Dilution Adjustment,(2.35),(0.49),0.00,0.00,--
