,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"4,601.00","5,099.70","4,795.50","4,689.40","4,549.20"
Total Revenue,"4,601.00","5,099.70","4,795.50","4,689.40","4,549.20"
"Cost of Revenue, Total","1,289.60","1,374.40","1,273.40","1,243.80","1,196.10"
Gross Profit,"3,311.40","3,725.30","3,522.10","3,445.60","3,353.10"
"Selling/General/Admin. Expenses, Total","2,449.20","2,706.50","2,697.90","2,645.70","2,538.90"
Depreciation/Amortization,362.90,305.30,200.30,203.70,202.40
Unusual Expense (Income),32.00,1.40,3.60,2.20,1.70
"Other Operating Expenses, Total",59.90,(9.20),(16.90),(12.30),0.40
Total Operating Expense,"4,193.60","4,378.40","4,158.30","4,083.10","3,939.50"
Operating Income,407.40,721.30,637.20,606.30,609.70
"Interest Inc.(Exp.),Net-Non-Op., Total",(130.30),(109.60),(87.80),(98.30),(80.40)
"Other, Net",(7.40),(8.40),(5.00),(4.80),(5.30)
Net Income Before Taxes,269.70,603.30,544.40,503.20,524.00
Provision for Income Taxes,130.80,210.70,189.30,164.80,188.90
Net Income After Taxes,138.90,392.60,355.10,338.40,335.10
Minority Interest,(13.60),(24.70),(22.50),(21.80),(15.70)
Net Income Before Extra. Items,125.30,367.90,332.60,316.60,319.40
Net Income,125.30,367.90,332.60,308.00,319.40
Income Available to Com Excl ExtraOrd,125.30,367.90,332.60,316.60,319.40
Income Available to Com Incl ExtraOrd,125.30,367.90,332.60,308.00,319.40
Dilution Adjustment,(0.04),(0.01),1.77,--,--
Diluted Net Income,125.26,367.89,332.60,308.00,319.40
Diluted Weighted Average Shares,452.16,445.87,439.38,439.93,440.14
Diluted EPS Excluding ExtraOrd Items,0.28,0.83,0.76,0.72,0.73
DPS - Common Stock Primary Issue,0.36,0.00,0.56,0.56,0.55
Diluted Normalized EPS,0.31,0.83,0.76,0.72,0.73
Total Extraordinary Items,0.00,(8.60),--,--,--
