NAME,AGE,POSITION,APPOINTED
Aldo Cardoso,65,Independent Chairman Of The Board,2017
Didier Michaud-Daniel,62,"Chief Executive Officer, Member Of The Executive Committee",2012
Andre Francois-Poncet,61,Vice Chairman Of The Board,2018
Francois Chabas,46,"Chief Financial Officer, Executive Vice President - Finance, Member Of The Executive Committee",2018
Helen Bradley,--,"Executive Vice President - Human Resources, Quality, Health & Safety And Environment, Corporate Social Responsibility And External Affairs, Member Of The Executive Committee",2018
Alberto Bedoya,--,"Executive Vice President - Commodities, Industry & Facilities (CIF) Division In Latin America, Member Of The Executive Committee",2021
Eduardo Camargo,--,"Executive Vice President - Group Transformation And Business Development; Commodities, Industry And Facilities, Latin America, Member Of The Executive Committee",2019
Juliano Cardoso,--,"Executive Vice President - Commodities, Industry And Facilities, Africa, Middle East And Asia Pacific, Member Of The Executive Committee",2015
Catherine Chen,--,"Executive Vice President - Consumer Products Division, Member Of The Executive Committee",2020
Matthieu De Tugny,--,"Executive Vice President - Marine And Offshore Division, Member Of The Executive Committee",2019
Beatrice Place Faget,--,"Executive Vice President - Legal Affairs And Internal Audit, Member Of The Executive Board",2020
Laurent Louail,--,"Executive Vice President - Commodities, Industry And Facilities, Southern And Western Europe, Member Of The Executive Committee",2018
Jacques Pommeraud,--,"Executive Vice President - Commodities, Industry And Facilities, France And Africa, Government Services, Member Of The Executive Committee",2018
Natalia A. Shuman,--,"Executive Vice President - Commodities, Industry And Facilities, North America, Member Of The Executive Committee",--
Lou DeLoreto,--,Vice President - Safety And Sustainability In North America,2021
Claude Pierre Ehlinger,58,Director,2016
Jerome Michiels,46,Director,2019
Ana Giros Calpe,46,Independent Director,2017
Ieda Gomes Yell,64,Independent Director,2013
Sian Herbert-Jones,60,Independent Director,2016
Philippe Lazare,64,Independent Director,2018
Pascal Ariel Francis Lebard,58,Independent Director,2013
Frederic Sanchez,61,Independent Director,2019
Lucia Sinapi-Thomas,57,Independent Director,2018
