,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Due from Banks,"649,972.00","526,302.00","474,732.00","439,471.00","390,439.00"
"Other Earning Assets, Total","823,306.00","769,251.00","706,265.00","696,938.00","708,425.00"
Net Loans,"402,019.00","390,877.00","366,349.00","341,114.00","342,794.00"
"Property/Plant/Equipment, Total - Gross","10,978.00","10,249.00","8,466.00","8,400.00","7,884.00"
"Accumulated Depreciation, Total","(5,199.00)","(4,651.00)","(4,397.00)","(4,190.00)","(4,055.00)"
"Property/Plant/Equipment, Total - Net","5,779.00","5,598.00","4,069.00","4,210.00","3,829.00"
"Goodwill, Net","14,659.00","15,280.00","15,491.00","15,421.00","13,185.00"
"Intangibles, Net","3,196.00","3,163.00","2,287.00","2,180.00","1,583.00"
Long Term Investments,"7,650.00","7,232.00","6,368.00","5,108.00","7,100.00"
"Other Long Term Assets, Total","5,703.00","3,542.00","3,387.00","5,236.00","3,167.00"
"Other Assets, Total","48,778.00","46,398.00","45,446.00","41,894.00","53,710.00"
Total Assets,"1,961,062.00","1,767,643.00","1,624,394.00","1,551,572.00","1,524,232.00"
Accrued Expenses,"11,658.00","12,859.00","11,603.00","11,119.00","14,204.00"
Total Deposits,"992,900.00","801,005.00","739,666.00","684,819.00","614,468.00"
Total Short Term Borrowings,"28,179.00","29,807.00","24,568.00","26,106.00","29,348.00"
Current Port. of LT Debt/Capital Leases,316.00,285.00,--,--,--
Long Term Debt,"186,599.00","222,804.00","207,235.00","189,180.00","214,084.00"
Capital Lease Obligations,"1,441.00","1,122.00",--,--,--
Total Long Term Debt,"188,040.00","223,926.00","207,235.00","189,180.00","214,084.00"
Total Debt,"216,535.00","254,018.00","231,803.00","215,286.00","243,432.00"
Deferred Income Tax,"3,334.00","3,766.00","2,376.00","3,287.00","3,101.00"
Minority Interest,"8,278.00","7,923.00","6,705.00","6,430.00","5,661.00"
"Other Liabilities, Total","663,140.00","625,152.00","573,429.00","573,496.00","585,090.00"
Total Liabilities,"1,895,845.00","1,704,723.00","1,565,583.00","1,494,437.00","1,465,956.00"
"Common Stock, Total","8,750.00","8,654.00","8,599.00","8,538.00","8,538.00"
Retained Earnings (Accumulated Deficit),"34,729.00","32,709.00","30,579.00","28,568.00","27,021.00"
Treasury Stock - Common,(113.00),(108.00),(151.00),(131.00),(132.00)
"Other Equity, Total","21,851.00","21,665.00","19,784.00","20,160.00","22,849.00"
Total Equity,"65,217.00","62,920.00","58,811.00","57,135.00","58,276.00"
Total Liabilities & Shareholders' Equity,"1,961,062.00","1,767,643.00","1,624,394.00","1,551,572.00","1,524,232.00"
Total Common Shares Outstanding,"2,915.60","2,884.25","2,864.29","2,843.96","2,843.34"
"Tangible Book Value per Share, Common Eq",16.24,15.42,14.33,13.90,15.30
Payable/Accrued,1.00,--,--,--,--
