,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"4,588.00","5,952.00","6,496.00","5,929.00","3,347.00"
Depreciation/Depletion,"1,143.00","1,048.00",759.00,786.00,706.00
Non-Cash Items,"14,662.00","30,543.00","10,542.00","9,737.00","17,028.00"
Cash Taxes Paid,"1,853.00","1,063.00",568.00,"1,275.00",(193.00)
Changes in Working Capital,"36,896.00","(30,706.00)","7,133.00","12,130.00","(43,787.00)"
Cash from Operating Activities,"57,289.00","6,837.00","24,930.00","28,582.00","(22,706.00)"
Capital Expenditures,(748.00),(947.00),(688.00),"(1,060.00)",(784.00)
"Other Investing Cash Flow Items, Total","(2,480.00)","7,229.00","(1,066.00)","(1,523.00)","16,768.00"
Cash from Investing Activities,"(3,228.00)","6,282.00","(1,754.00)","(2,583.00)","15,984.00"
Financing Cash Flow Items,"7,684.00","(5,714.00)","(1,930.00)","2,065.00","2,122.00"
Cash from Financing Activities,"7,684.00","2,206.00","(1,930.00)","2,065.00","2,122.00"
Foreign Exchange Effects,"(1,308.00)","1,266.00",864.00,"(1,521.00)",799.00
Net Change in Cash,"60,437.00","16,591.00","22,110.00","26,543.00","(3,801.00)"
Cash Interest Paid,"2,947.00",--,--,--,--
"Issuance (Retirement) of Debt, Net","7,920.00",--,--,--,--
