TITLE,SUMMARY,DATE
Credit Agricole: Success Of Early Participation Phase Of Its Exchange Offer For GBP Additional Tier 1 Securities,"June 7 (Reuters) - Credit Agricole SA <CAGR.PA>::REG-CREDIT AGRICOLE S.A. ANNOUNCES SUCCESS OF EARLY PARTICIPATION PHASE OF ITS EXCHANGE OFFER FOR GBP ADDITIONAL TIER 1 SECURITIES.EARLY PARTICIPATION RESULTS OF ITS INVITATION TO OFFER TO EXCHANGE ANY AND ALL OF ITS OUTSTANDING LEGACY UNDATED DEEPLY SUBORDINATED ADDITIONAL TIER 1 FIXED RATE RESETTABLE GBP NOTES FOR EQUIVALENT PRINCIPAL AMOUNT OF ITS NEW UNDATED DEEPLY SUBORDINATED ADDITIONAL TIER 1 FIXED RATE RESETTABLE GBP NOTES.AS OF 5:00 P.M. LONDON TIME ON 4 JUNE 2021, VALID OFFERS TO EXCHANGE WERE RECEIVED, AND WILL BE ACCEPTED IN FULL FOR EXCHANGE BY ISSUER, WITH RESPECT TO GBP383,445,000 OF EXISTING NOTES, EXCEEDING GBP250 MILLION MINIMUM EXCHANGE CONDITION AMOUNT.AS A RESULT, GBP383,445,000 OF NEW NOTES WILL BE ISSUED ON 9 JUNE 2021.ISSUER WILL PAY THESE EARLY EXCHANGING HOLDERS AN EARLY PARTICIPATION AMOUNT OF GBP1.00 PER GBP1,000 PRINCIPAL AMOUNT OF EXISTING NOTES EXCHANGED ON EARLY PARTICIPATION SETTLEMENT DATE.ISSUER WILL ALSO PAY THESE EARLY EXCHANGING HOLDERS ACCRUED INTEREST OF GBP16.03 PER GBP1,000 PRINCIPAL AMOUNT OF EXISTING NOTES.EXCHANGE OFFER REMAINS OPEN AND WILL EXPIRE AT 5:00 P.M. LONDON TIME (12:00 P.M. NEW YORK CITY TIME) ON 18 JUNE 2021.",6 days ago
Credit Agricole Says 85% Of Its Shareholders Chose Scrip Dividend Payment Option,"June 7 (Reuters) - Credit Agricole SA <CAGR.PA>::REG-CREDIT AGRICOLE SA: 85% OF CRÉDIT AGRICOLE S.A.’S SHAREHOLDERS CHOSE THE SCRIP DIVIDEND PAYMENT OPTION.SCRIP DIVIDEND PAYMENT RESULTED IN ISSUANCE OF 175,330,851 NEW ORDINARY SHARES.INTENDS TO EXECUTE A SHARE BUYBACK PROGRAM BY END OF YEAR, FOR AROUND 560 MILLION EUROS.",6 days ago
Crédit Agricole Consumer Finance Confirms Ambition To Be Major Player In Spain By Owning 100% Of Soyou's Capital,June 3 (Reuters) - CREDIT AGRICOLE SA <CAGR.PA>::CRÉDIT AGRICOLE CONSUMER FINANCE CONFIRMS AMBITION TO BE A MAJOR PLAYER IN SPAIN BY OWNING 100% OF SOYOU'S CAPITAL.,10 days ago
French bank Credit Agricole announces new bond market exchange offers,May 20 (Reuters) - Credit Agricole SA <CAGR.PA>::* Crédit Agricole S.A. invitates eligible holders of its outstanding legacy Undated Deeply Subordinated Additional Tier 1 Fixed Rate Resettable GBP notes to offer to exchange any and all of their Existing Notes for an equivalent principal amount of its new Undated Deeply Subordinated Additional Tier 1 Fixed Rate Resettable GBP Notes..,24 days ago
Crédit Agricole Italia To Own 100% Of Creval's Capital After Squeeze-Out,"May 20 (Reuters) - Crédit Agricole Italia::SAID ON WEDNESDAY IT HAS CROSSED 95% THRESHOLD OF CREVAL CAPITAL.AFTER SQUEEZE-OUT PROCEDURE, IT WILL OWN 100% OF CREVAL'S CAPITAL FOR TOTAL CONSIDERATION OF EUR 861 MILLION.",24 days ago
Credit Agricole Appoints Valerie Baudson As Deputy CEO,"May 11 (Reuters) - CREDIT AGRICOLE SA <CAGR.PA>::ANNOUNCED ON MONDAY: ON THE OCCASION OF HER APPOINTMENT AS CEO OF AMUNDI, VALÉRIE BAUDSON IS APPOINTED DEPUTY GENERAL MANAGER OF CRÉDIT AGRICOLE S.A..",a month ago
Credit Agricole CFO says sees no sign of deterioration in credit environment,May 7 (Reuters) - French bank Credit Agricole SA <CAGR.PA> CFO Jerome Grivet told analysts on Friday::SEES NO SIGN OF DETERIORATION IN THE CREDIT ENVIRONMENT. (Paris newsroom). ((+33 1 49 49 53 29;)).,a month ago
Cdt Agricole CFO says keeps target of a 5 bln euro net profit in 2022,May 7 (Reuters) - French bank Credit Agricole SA <CAGR.PA> CFO Jerome Grivet told analysts on Friday::KEEPS TARGET OF A NET PROFIT OF 5 BILLION EUROS IN 2022. (Paris newsroom). ((+33 1 49 49 53 29;)).,a month ago
Creval Calls Shareholders' Meeting For June 18 To Appoint New Board,"May 6 (Reuters) - Banca Piccolo Credito Valtellinese SpA <PCVI.MI>::CALLS SHAREHOLDERS' MEETING FOR JUNE 18 TO APPOINT NEW BOARD OF DIRECTORS FOR THREE-YEAR PERIOD 2021-2023.AS OF NOW, THE BOARD ASSURES ITS WILLINGNESS TO ALLOW THE MOST SERENE SUCCESSION IN THE MANAGEMENT OF THE BANK.",a month ago
Credit Agricole: redeems more bond notes,"May 6 (Reuters) - Credit Agricole SA <CAGR.PA>::REG-CREDIT AGRICOLE SA: CREDIT AGRICOLE S.A. ANNOUNCES REDEMPTION OF €1,000,000,000 UNDATED DEEPLY SUBORDINATED ADDITIONAL TIER 1 FIXED RATE RESETTABLE EURO NOTES ISSUED ON APRIL 8, 2014.",a month ago
