,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"1,253.00",754.00,713.00,659.00,587.00
Short Term Investments,"1,921.00","1,920.00","1,476.00","1,497.00","1,449.00"
Cash and Short Term Investments,"3,174.00","2,674.00","2,189.00","2,156.00","2,036.00"
"Accounts Receivable - Trade, Net","3,836.00","3,297.00","3,187.00","4,100.00","2,981.00"
"Total Receivables, Net","4,355.00","3,673.00","3,665.00","3,934.00","3,475.00"
Prepaid Expenses,242.00,143.00,226.00,209.00,205.00
"Other Current Assets, Total",68.00,73.00,74.00,149.00,85.00
Total Current Assets,"7,839.00","6,563.00","6,154.00","6,090.00","5,869.00"
"Property/Plant/Equipment, Total - Gross","3,452.00","3,052.00","1,961.00","1,973.00","1,927.00"
"Accumulated Depreciation, Total","(1,760.00)","(1,552.00)","(1,176.00)","(1,219.00)","(1,164.00)"
"Property/Plant/Equipment, Total - Net","1,692.00","1,500.00",785.00,749.00,754.00
"Goodwill, Net","9,795.00","7,662.00","7,431.00","6,830.00","7,176.00"
"Intangibles, Net","1,100.00",645.00,697.00,681.00,813.00
Long Term Investments,163.00,128.00,120.00,119.00,96.00
Note Receivable - Long Term,183.00,89.00,79.00,83.00,88.00
"Other Long Term Assets, Total","1,182.00","1,548.00","1,232.00","1,594.00","1,645.00"
Total Assets,"21,954.00","18,135.00","16,498.00","15,944.00","16,459.00"
Accounts Payable,"1,215.00","1,159.00","1,203.00","2,837.00","1,105.00"
Accrued Expenses,"2,143.00","1,852.00","1,741.00","1,703.00","1,693.00"
Notes Payable/Short Term Debt,374.00,14.00,16.00,20.00,52.00
Current Port. of LT Debt/Capital Leases,864.00,924.00,67.00,569.00,73.00
"Other Current liabilities, Total","1,379.00","1,171.00","1,203.00","1,071.00","1,035.00"
Total Current Liabilities,"5,975.00","5,120.00","4,230.00","4,497.00","3,968.00"
Long Term Debt,"7,127.00","2,564.00","3,233.00","2,740.00","3,236.00"
Capital Lease Obligations,681.00,592.00,41.00,43.00,51.00
Total Long Term Debt,"7,808.00","3,156.00","3,274.00","2,783.00","3,287.00"
Total Debt,"9,046.00","4,094.00","3,357.00","3,372.00","3,412.00"
Deferred Income Tax,230.00,185.00,180.00,172.00,227.00
Minority Interest,12.00,(5.00),(1.00),4.00,13.00
"Other Liabilities, Total","1,826.00","1,255.00","1,335.00","1,532.00","1,692.00"
Total Liabilities,"15,851.00","9,711.00","9,018.00","8,988.00","9,187.00"
"Common Stock, Total","1,350.00","1,355.00","1,338.00","1,348.00","1,373.00"
Additional Paid-In Capital,"3,050.00","3,150.00","2,979.00","3,169.00","3,453.00"
Retained Earnings (Accumulated Deficit),"1,703.00","3,919.00","3,163.00","2,439.00","2,446.00"
Total Equity,"6,103.00","8,424.00","7,480.00","6,956.00","7,272.00"
Total Liabilities & Shareholders' Equity,"21,954.00","18,135.00","16,498.00","15,944.00","16,459.00"
Total Common Shares Outstanding,168.38,169.03,166.79,167.79,168.41
"Tangible Book Value per Share, Common Eq",(28.46),0.69,(3.89),(3.31),(4.26)
