,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"1,351.00",722.00,565.00,255.00,"1,428.00"
Depreciation/Depletion,"2,292.00","2,328.00","1,437.00","1,632.00","1,547.00"
Non-Cash Items,(234.00),131.00,(67.00),448.00,(398.00)
Cash Interest Paid,289.00,334.00,240.00,320.00,378.00
Changes in Working Capital,(14.00),66.00,172.00,509.00,729.00
Cash from Operating Activities,"3,395.00","3,247.00","2,107.00","2,844.00","3,306.00"
Capital Expenditures,"(1,491.00)","(1,725.00)","(1,560.00)","(2,379.00)","(2,749.00)"
"Other Investing Cash Flow Items, Total",(350.00),712.00,(53.00),(256.00),(107.00)
Cash from Investing Activities,"(1,841.00)","(1,013.00)","(1,613.00)","(2,635.00)","(2,856.00)"
Financing Cash Flow Items,(404.00),(507.00),(286.00),"1,019.00",(97.00)
Total Cash Dividends Paid,(57.00),(106.00),(152.00),(151.00),(121.00)
"Issuance (Retirement) of Stock, Net",0.00,0.00,42.00,(40.00),30.00
"Issuance (Retirement) of Debt, Net",(665.00),"(1,374.00)",925.00,(466.00),188.00
Cash from Financing Activities,"(1,126.00)","(1,987.00)",529.00,362.00,0.00
Foreign Exchange Effects,(455.00),(81.00),(315.00),(283.00),131.00
Net Change in Cash,(27.00),166.00,708.00,288.00,581.00
