,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"72,150.00","74,142.00","74,166.00","80,975.00","78,774.00"
Total Revenue,"72,150.00","74,142.00","74,166.00","80,975.00","78,774.00"
"Cost of Revenue, Total","56,705.00","58,051.00","58,012.00","62,760.00","60,789.00"
Gross Profit,"15,445.00","16,091.00","16,154.00","18,215.00","17,985.00"
"Selling/General/Admin. Expenses, Total","11,232.00","11,906.00","12,821.00","14,642.00","14,147.00"
Depreciation/Amortization,"2,027.00","2,071.00","1,367.00","1,534.00","1,457.00"
"Interest Exp.(Inc.),Net-Operating, Total",26.00,13.00,(1.00),9.00,48.00
Unusual Expense (Income),445.00,"1,008.00","1,129.00","1,310.00",372.00
Total Operating Expense,"70,435.00","73,049.00","73,343.00","80,275.00","76,831.00"
Operating Income,"1,715.00","1,093.00",823.00,700.00,"1,943.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(302.00),(297.00),(228.00),(317.00),(377.00)
"Other, Net",(62.00),(77.00),(30.00),(128.00),(138.00)
Net Income Before Taxes,"1,351.00",719.00,565.00,255.00,"1,428.00"
Provision for Income Taxes,498.00,503.00,529.00,618.00,494.00
Net Income After Taxes,853.00,216.00,36.00,(363.00),934.00
Minority Interest,(190.00),(187.00),(223.00),(169.00),(148.00)
Net Income Before Extra. Items,663.00,29.00,(187.00),(532.00),786.00
Total Extraordinary Items,(22.00),"1,097.00",(373.00),1.00,(40.00)
Net Income,641.00,"1,126.00",(560.00),(531.00),746.00
Income Available to Com Excl ExtraOrd,663.00,29.00,(188.00),(531.00),786.00
Income Available to Com Incl ExtraOrd,641.00,"1,126.00",(561.00),(530.00),746.00
Diluted Net Income,641.00,"1,126.00",(561.00),(530.00),746.00
Diluted Weighted Average Shares,807.59,792.96,775.06,756.98,739.36
Diluted EPS Excluding ExtraOrd Items,0.82,0.04,(0.24),(0.70),1.06
DPS - Common Stock Primary Issue,0.48,0.23,0.46,0.46,0.70
Diluted Normalized EPS,1.17,0.86,0.77,0.65,1.46
"Other Operating Expenses, Total",15.00,20.00,18.00,21.00,--
Total Adjustments to Net Income,(1.00),1.00,(1.00),--,--
Dilution Adjustment,0.00,0.00,--,--,--
