TITLE,SUMMARY,DATE
"Carrefour CEO says takeover bid from Canada'S Couche-Tard is 'behind us""",June 2 (Reuters) - Carrefour's CEO <CARR.PA> Alexandre Bompard::SAYS TAKEOVER BID FROM CANADA'S ALIMENTATION COUCHE-TARD IS BEHIND US.BOMPARD WAS SPEAKING DURING A PARLIAMENTARY HEARING.Further company coverage: <CARR.PA>. (Paris Newsroom). ((Benoit.VanOverstraeten@thomsonreuters.com; +3314949 5339;)).,11 days ago
Carrefour CEO Bompard says not looking for any consolidation operation,June 2 (Reuters) - Carrefour's <CARR.PA> CEO Alexandre Bompard::SAYS HE IS NOT LOOKING FOR ANY OPERATION REGARDING CONSOLIDATION IN SECTOR.BOMPARD WAS SPEAKING DURING A PARLIAMENTARY HEARING.,11 days ago
Carrefour shareholders approve renewal of Bompard's mandate as board member,"May 21 (Reuters) - Carrefour <CARR.PA> Annual Shareholders Meeting::Carrefour shareholders approve the renewal of the mandate of Chairman and CEO Alexandre Bompard as a board member, with 81.71% of shareholders supporting the proposal..",23 days ago
Argan Acquires 3 Warehouses From Carrefour,May 17 (Reuters) - ARGAN SA <ARGAN.PA>::ACQUIRES 3 WAREHOUSES OF TOTAL 70.000 M2 FROM CARREFOUR.,a month ago
Carrefour Signs New Partnership With Nordic Coops,May 6 (Reuters) - CARREFOUR SA <CARR.PA>::CARREFOUR INTERNATIONAL PARTNERSHIP SIGNING A NEW PARTNERSHIP WITH NORDIC COOPS IN NORTHERN EUROPE.PARTNERSHIP WILL ALLOW NORDIC COOPS TO PURCHASE CARREFOUR FOOD AND NON FOOD PRIVATE LABELS.,a month ago
French supermarket group Carrefour launches 500 mln euros share buyback programme,"May 6 (Reuters) - Carrefour SA <CARR.PA>::CARREFOUR: LAUNCH OF A SHARE BUYBACK PROGRAM FOR EUR 500 MILLION.SHARE BUYBACK PURCHASE PERIOD WILL START ON 7 MAY 2021 AND END, AT LATEST, ON 26 NOVEMBER 2021.",a month ago
Carrefour CFO: We are satisfied with cost savings dynamic,"April 21 (Reuters) - Carrefour <CARR.PA>:CFO Matthieu Malige:CFO SAYS: WE HAVE A VERY STRONG BALANCE SHEET, WE WILL ASSESS OPPORTUNITIES ON HOW TO RETURN CAPITAL TO SHAREHOLDERS IN 2022.CFO SAYS: 2021 SHARE BUYBACK PLAN DOES NOT PRECLUDE US TO DO OTHERS IN THE FUTURE.CFO SAYS: WE ARE SATISFIED WITH THE COST-CUTTING DYNAMIC IN THE GROUP.",2 months ago
"Carrefour Confirms Targets, Announces EUR 500 Mln Share Buyback","April 21 (Reuters) - Carrefour SA <CARR.PA>::Q1 GROUP SALES (PRE-IAS 29) EUR ‍18.56 BILLION, UP 4.2% LFL.CONFIRMATION OF ORIENTATIONS AND OBJECTIVES OF CARREFOUR 2022 PLAN.CARREFOUR ANNOUNCES EUR 500 MILLION SHARE BUYBACK IN 2021, IN LINE WITH CAPITAL ALLOCATION POLICY.IN Q1, STRONG LFL GROWTH IN FRANCE (+3.5% LFL), INCLUDING IN HYPERMARKETS.ON SHARE BUYBACK: EXPECTS TRANSACTIONS TO TAKE PLACE BY END OF 2021.IN FRANCE, LIKE-FOR-LIKE GROWTH IS SOLID DURING FIRST WEEKS OF APRIL, INCLUDING IN HYPERMARKETS.ACCELERATED ROLLOUT OF FOOD E-COMMERCE, GROWING +56% IN Q1 (+45% IN Q1 2020).",2 months ago
Carrefour Reinforces Its Leading Position In Brazil With Acquisition Of Grupo Big,"March 24 (Reuters) - Carrefour <CARR.PA>::REINFORCES ITS LEADING POSITION IN BRAZIL WITH THE ACQUISITION OF GRUPO BIG.TRANSACTION VALUES GRUPO BIG AT AN ENTERPRISE VALUE OF R$7.0BN(1) (C.EUR 1.1BN).GRUPO CARREFOUR BRASIL ENTERED INTO AN AGREEMENT WITH ADVENT INTERNATIONAL AND WALMART FOR ACQUISITION OF GRUPO BIG BRASIL SA.ACQUISITION WILL BE REALIZED 70% IN CASH AND 30% THROUGH NEWLY ISSUED CARREFOUR BRAZIL SHARES.COMPLETION OF TRANSACTION IS EXPECTED IN 2022.EXPECT R$1.7BN SYNERGIES ON AN ANNUAL BASIS.GROUP TO OWN AROUND 67.7% OF CARREFOUR BRAZIL, PENÍNSULA PARTICIPAÇÕES 7.2%, ADVENT AND WALMART, THROUGH AFFILIATES, 5.6% COMBINED.",3 months ago
Carrefour completes acquisition of 172 stores in Spain,"March 15 (Reuters) - Carrefour SA <CARR.PA>::SAYS COMPLETES THE ACQUISITION OF 172 PROXIMITY STORES AND SUPERMARKETS IN SPAIN.SAYS DEAL COMPLETED FOR A FINAL ENTERPRISE VALUE OF 78 MILLION EUROS.SAYS THIS ACQUISITION SHOULD TRANSLATE, FOR CARREFOUR SPAIN, INTO ADDITIONAL EBITDA OF AROUND 50 MILLION EUROS POST IFRS-16 BY 2023.SAYS ACQUISITION CONSOLIDATES CARREFOUR'S NUMBER TWO POSITION IN SPAIN.SAYS STORE CONVERSIONS TO CARREFOUR BANNERS (EXPRESS, MARKET AND SUPECO) WILL BE COMPLETED BY END-2021.SAYS TRANSACTION IS ALSO PART OF GROUP'S TARGETED AND VALUE-CREATING ACQUISITION POLICY.SAYS AROUND 90% OF ACQUIRED STORES ARE LOCATED IN LARGE CITIES (MADRID, MALAGA, CADIZ AND SEVILLE) AND WILL ULTIMATELY BECOME NEW ORDER PICK-UP POINTS..Further company coverage: <CARR.PA>. (Paris Newsroom). ((Benoit.VanOverstraeten@thomsonreuters.com; +3314949 5339;)).",3 months ago
