,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Equivalents,593.00,644.00,839.00,638.00,557.00
Short Term Investments,"3,680.00","3,631.00","4,199.00","3,462.00","13,063.00"
Cash and Short Term Investments,"4,273.00","4,275.00","5,038.00","4,100.00","13,620.00"
"Accounts Receivable - Trade, Net","2,608.00","2,906.00","2,689.00","2,794.00","2,524.00"
"Total Receivables, Net","3,362.00","3,724.00","3,323.00","3,515.00","3,237.00"
Total Inventory,"1,840.00","1,933.00","1,789.00","1,668.00","1,380.00"
"Other Current Assets, Total","1,163.00",186.00,184.00,349.00,876.00
Total Current Assets,"10,638.00","10,118.00","10,334.00","9,632.00","19,113.00"
"Property/Plant/Equipment, Total - Gross","14,804.00","14,822.00","13,509.00","12,558.00","11,311.00"
"Accumulated Depreciation, Total","(8,231.00)","(7,978.00)","(7,334.00)","(6,553.00)","(6,276.00)"
"Property/Plant/Equipment, Total - Net","6,572.00","6,844.00","6,175.00","6,005.00","5,036.00"
"Goodwill, Net","17,016.00","18,125.00","17,711.00","18,132.00","11,620.00"
"Intangibles, Net","6,021.00","6,678.00","6,734.00","6,813.00","4,183.00"
Long Term Investments,"1,472.00","2,523.00","2,366.00","2,923.00","2,998.00"
Note Receivable - Long Term,12.00,14.00,16.00,15.00,20.00
"Other Long Term Assets, Total","1,045.00","1,060.00",841.00,739.00,979.00
Total Assets,"42,776.00","45,362.00","44,177.00","44,259.00","43,949.00"
Accounts Payable,"3,467.00","3,959.00","3,675.00","3,904.00","3,772.00"
Accrued Expenses,835.00,917.00,895.00,935.00,872.00
Notes Payable/Short Term Debt,"1,492.00","1,502.00",716.00,719.00,0.00
Current Port. of LT Debt/Capital Leases,"2,270.00","2,494.00","2,304.00","2,503.00","2,118.00"
"Other Current liabilities, Total","2,274.00","2,381.00","2,375.00","2,398.00","2,288.00"
Total Current Liabilities,"10,338.00","11,253.00","9,965.00","10,459.00","9,050.00"
Long Term Debt,"11,529.00","12,123.00","14,276.00","15,529.00","18,438.00"
Capital Lease Obligations,744.00,751.00,--,--,--
Total Long Term Debt,"12,273.00","12,874.00","14,276.00","15,529.00","18,438.00"
Total Debt,"16,035.00","16,870.00","17,296.00","18,751.00","20,556.00"
Deferred Income Tax,"1,474.00","1,556.00","1,537.00","1,633.00","1,090.00"
Minority Interest,93.00,137.00,131.00,73.00,85.00
"Other Liabilities, Total","2,393.00","2,301.00","1,924.00","2,109.00","2,177.00"
Total Liabilities,"26,571.00","28,121.00","27,833.00","29,803.00","30,840.00"
"Common Stock, Total",172.00,172.00,171.00,168.00,164.00
Additional Paid-In Capital,"5,889.00","5,859.00","5,805.00","4,991.00","4,178.00"
Retained Earnings (Accumulated Deficit),"16,124.00","15,241.00","14,646.00","14,677.00","12,035.00"
Treasury Stock - Common,"(1,595.00)","(1,610.00)","(1,632.00)","(1,653.00)","(1,682.00)"
"Other Equity, Total","(4,385.00)","(2,421.00)","(2,646.00)","(3,727.00)","(1,586.00)"
Total Equity,"16,205.00","17,241.00","16,344.00","14,456.00","13,109.00"
Total Liabilities & Shareholders' Equity,"42,776.00","45,362.00","44,177.00","44,259.00","43,949.00"
Total Common Shares Outstanding,649.80,648.87,647.27,632.40,616.98
"Tangible Book Value per Share, Common Eq",(10.51),(11.65),(12.52),(16.59),(4.37)
