TITLE,SUMMARY,DATE
Danone Launches EUR 1 Billion Bond Issue,"May 25 (Reuters) - Danone SA <DANO.PA>::REG-DANONE LAUNCHES A SUCCESSFUL €1 BILLION BOND ISSUE.EUR 1 BILLION BOND WITH A 4.5-YEAR MATURITY AND A 0% COUPON..SETTLEMENT IS EXPECTED TO TAKE PLACE ON JUNE 1, 2021 AND BONDS WILL BE LISTED ON EURONEXT PARIS.BOND ISSUE WAS WIDELY SUBSCRIBED BY A DIVERSIFIED INVESTOR BASE.",18 days ago
Danone S.A. Long Position In China Mengniu Dairy Decreased To 0% On May 17 - HKEX Filing,May 21 (Reuters) - Hong Kong stock exchange filing::DANONE S.A. LONG POSITION IN CHINA MENGNIU DAIRY <<<2319.HK>>> DECREASED TO 0% ON MAY 17 FROM 9.82% - HKEX FILING.,23 days ago
"Danone Finalizes Sale Of Mengniu Stake, Total Gross Proceeds Of About Eur 1.6 Bln","May 13 (Reuters) - Danone SA <DANO.PA>::ANNOUNCED ON WEDNESDAY CO FINALIZES SALE OF MENGNIU STAKE.HAS FINALIZED STRATEGIC SALE OF ITS ABOUT 9.8% STAKE IN CHINA MENGNIU DAIRY COMPANY LIMITED <<<2319.HK>>>, WHICH WAS ORIGINALLY ANNOUNCED ON MAY 12, 2021.TRANSACTION RESULTED IN TOTAL GROSS PROCEEDS OF HKD 15.4 BILLION, REPRESENTING ABOUT EUR 1.6 BLN .SETTLEMENT OF TRANSACTION WILL TAKE PLACE ON MAY 17, 2021.",a month ago
Danone Says Ron Oswald Joins Co's Mission Committee,May 3 (Reuters) - DANONE SA <DANO.PA>::DANONE: FORMER IUF GENERAL SECRETARY RON OSWALD JOINS DANONE'S MISSION COMMITTEE.,a month ago
Danone CFO: We will use pricing whenever relevant,"April 20 (Reuters) - Danone <DANO.PA> CFO Juergen Esser tells analysts during a call::CFO SAYS: WE WILL USE PRICING ACTION WHENEVER RELEVANT, WE DO NOT WANT TO USE INFLATION AS AN EXCUSE TO CUT INVESTMENTS.CFO SAYS: I DO NOT WANT TO SPECULATE ON TIMING WHEN ASKED ABOUT SEARCH FOR NEW CEO.CFO SAYS: WE ARE VERY STRONGLY FOCUSED ON DELIVERING THIS BACK TO GROWTH MOMENTUM.CFO SAYS: WE WILL BE BACK TO GROWTH IN Q2 IN ALL DIVISIONS.",2 months ago
Danone Q1 Revenue Down At EUR 5.66‍ Billion,"April 20 (Reuters) - DANONE <DANO.PA>::Q1 REVENUE EUR 5.66‍ BILLION VERSUS EUR 6.24 BILLION YEAR AGO.GRADUAL REOPENING OF ECONOMIES IS ASSUMED TO START FROM H2, AS VACCINATION PROGRAMS ARE ROLLED OUT.IN 2021, BROAD-BASED ACCELERATION OF INFLATION IN MILK, INGREDIENTS, PACKAGING AND LOGISTICS IS EXPECTED.2021 GUIDANCE REITERATED.Q1: SHARP -7.0% IMPACT OF FX, RESULTING IN -9.4% REPORTED DECLINE IN CONSOLIDATED SALES.",2 months ago
Danone To Pause And Reconsider Any Immediate Members Refreshment,"March 17 (Reuters) - DANONE SA <DANO.PA>::DANONE: UPDATE ON 2021 ANNUAL GENERAL MEETING.BOARD HAS DECIDED TO PAUSE AND RECONSIDER ANY IMMEDIATE MEMBERS REFRESHMENT.PROPOSED NOMINATIONS OF ARIANE GORIN AND SUSAN ROBERTS AS DIRECTORS WON'T BE PRESENTED TO UPCOMING SHAREHOLDERS' MEETING.AS A CONSEQUENCE, ONLY FOLLOWING RENEWAL AND APPOINTMENTS OF DIRECTORS WILL BE PROPOSED AT 2021 SHAREHOLDERS' MEETING.TO BE PROPOSED: RENEWAL OF TERMS OF OFFICE OF GUIDO BARILLA, CÉCILE CABANIS, MICHEL LANDEL, AND SERPIL TIMURAY.TO BE PROPOSED: RATIFICATION OF CO-OPTING OF GILLES SCHNEPP AS DIRECTOR DECIDED BY BOARD IN DECEMBER 2020.",3 months ago
"French food group Danone launches UK’s 1st formula milk in an innovative, pre-measured tab format","March 17 (Reuters) - Danone SA <DANO.PA>::DANONE LAUNCHES UK 1ST FORMULA MILK IN AN INNOVATIVE, PRE-MEASURED TAB FORMAT.New format developed to make preparing formula milk simpler & more convenient.Pre-measured tab format produced in partnership with Japanese food manufacturer Meiji.Following UK launch, Danone plans to introduce new format in Europe as of next year.Further company coverage: <DANO.PA>. (Reporting by Sudip Kar-Gupta). ((sudip.kargupta@thomsonreuters.com;)).",3 months ago
China Mengniu Dairy Says Danone Considering Divesting Its Stake In Co,March 1 (Reuters) - China Mengniu Dairy Co Ltd <2319.HK>::DANONE REACHED AGREEMENT WITH COFCO DAIRY INVESTMENTS TO CONVERT ITS INDIRECT STAKE IN CO INTO DIRECT SHAREHOLDING.DANONE IS CONSIDERING A DIVESTMENT OF ITS STAKE IN CO.EXPECTED THAT DANONE WILL HOLD DIRECT SHAREHOLDING INTEREST OF ABOUT 9.82% IN CO.EXPECTED THAT CDI'S SHAREHOLDING INTEREST IN CO WILL BE REDUCED TO ABOUT 21.43%.ARRANGEMENTS WILL NOT AFFECT BUSINESS STRATEGIES AND PLANS OF GROUP.,4 months ago
Danone to convert indirect stake in Chinese partner in step towards sale,"Feb 28 (Reuters) - Danone SA <DANO.PA>::REG-DANONE: PORTFOLIO REVIEW: CONVERSION OF DANONE’S 9.8% INDIRECT STAKE IN CHINESE PARTNER MENGNIU INTO A DIRECT HOLDING AS A FIRST STEP TO DISPOSAL.SAYS IT HAS REACHED AN AGREEMENT WITH COFCO DAIRY INVESTMENTS LIMITED (""CDI""), TO CONVERT DANONE'S STAKE IN CHINA MENGNIU DAIRY COMPANY LIMITED (""MENGNIU""), CURRENTLY HELD INDIRECTLY, INTO A DIRECT HOLDING.THIS CONVERSION IS FIRST STEP TOWARDS FACILITATING DANONE'S DISPOSAL OF ITS STAKE IN MENGNIU.THIS CONVERSION PROCESS REMAINS SUBJECT TO REGULATORY APPROVAL AND ONCE COMPLETED, WILL RESULT IN DANONE OWNING A DIRECT 9.8% STAKE IN MENGNIU.A DIVESTITURE OF DANONE'S STAKE IN MENGNIU COULD THEN FOLLOW IN 2021 THROUGH ONE OR SEVERAL TRANSACTIONS, DEPENDING ON MARKET CONDITIONS.",4 months ago
