,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,305.70,380.50,192.70,142.41,66.76
Cash & Equivalents,"1,843.20","1,564.40","2,616.60","2,317.04","2,369.94"
Cash and Short Term Investments,"2,148.90","1,944.90","2,809.90","2,460.73","2,492.77"
"Accounts Receivable - Trade, Net","1,256.10","1,346.10","1,070.60",895.90,820.44
"Total Receivables, Net","1,446.10","1,550.10","1,271.80","1,028.14",978.00
Prepaid Expenses,104.10,122.60,89.80,82.42,75.70
"Other Current Assets, Total",61.20,51.40,30.30,28.23,23.96
Total Current Assets,"3,760.30","3,669.00","4,201.80","3,599.51","3,570.44"
"Property/Plant/Equipment, Total - Gross","1,402.10","1,297.40",450.10,407.36,356.68
"Accumulated Depreciation, Total",(541.00),(397.60),(272.00),(238.41),(221.28)
"Property/Plant/Equipment, Total - Net",861.10,899.70,178.20,168.96,135.40
"Goodwill, Net","4,390.50","4,730.90","2,124.50","1,923.73","1,847.44"
"Intangibles, Net","3,546.80","4,186.10","1,137.80","1,066.44","1,079.08"
Long Term Investments,28.70,54.80,43.20,35.16,31.64
Note Receivable - Long Term,144.90,123.10,124.00,123.10,139.26
"Other Long Term Assets, Total",231.90,209.00,164.50,112.92,139.81
Total Assets,"12,964.20","13,872.60","7,974.00","7,029.81","6,943.07"
Accounts Payable,171.70,220.00,161.70,149.31,144.86
Accrued Expenses,603.90,653.50,525.10,430.57,410.69
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,92.50,83.00,350.00,0.00,--
"Other Current liabilities, Total","1,218.80","1,177.40",986.00,947.58,910.09
Total Current Liabilities,"2,086.90","2,133.90","2,022.80","1,527.46","1,465.64"
Long Term Debt,"4,174.30","4,596.80",650.00,"1,000.00","1,000.00"
Capital Lease Obligations,564.50,612.80,--,--,--
Total Long Term Debt,"4,738.80","5,209.60",650.00,"1,000.00","1,000.00"
Total Debt,"4,831.30","5,292.60","1,000.00","1,000.00","1,000.00"
Deferred Income Tax,625.30,830.20,262.80,186.63,258.73
Minority Interest,44.80,53.90,63.90,1.87,22.61
"Other Liabilities, Total",407.10,436.40,412.50,319.67,335.87
Total Liabilities,"7,902.90","8,664.00","3,412.00","3,035.63","3,082.84"
"Common Stock, Total",132.60,132.00,131.40,130.47,129.00
Additional Paid-In Capital,954.00,863.30,766.30,645.80,500.10
Retained Earnings (Accumulated Deficit),"5,043.70","4,653.20","4,003.50","3,578.99","3,173.64"
Treasury Stock - Common,(442.10),(450.20),(353.80),(312.34),(222.93)
Unrealized Gain (Loss),0.00,3.40,3.40,3.37,--
"Other Equity, Total",(626.80),7.10,11.20,(52.10),280.42
Total Equity,"5,061.40","5,208.80","4,562.00","3,994.18","3,860.23"
Total Liabilities & Shareholders' Equity,"12,964.30","13,872.80","7,974.00","7,029.81","6,943.07"
Total Common Shares Outstanding,261.08,259.46,258.61,256.03,253.63
"Tangible Book Value per Share, Common Eq",(11.02),(14.29),5.03,3.92,3.68
Short Term Investments,0.60,1.28,56.06,70.75,--
