,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,238.00,312.00,254.00,241.00,180.00
Depreciation/Depletion,130.00,126.00,72.00,85.00,66.00
Non-Cash Items,81.00,53.00,75.00,55.00,61.00
Changes in Working Capital,269.00,(26.00),125.00,97.00,111.00
Cash from Operating Activities,718.00,465.00,526.00,494.00,413.00
Capital Expenditures,(104.00),(98.00),(90.00),(78.00),(58.00)
"Other Investing Cash Flow Items, Total",(190.00),(771.00),(250.00),(98.00),(194.00)
Cash from Investing Activities,(294.00),(869.00),(340.00),(176.00),(252.00)
Total Cash Dividends Paid,(81.00),(87.00),(136.00),(129.00),(199.00)
"Issuance (Retirement) of Stock, Net",(20.00),(47.00),(29.00),(9.00),50.00
"Issuance (Retirement) of Debt, Net",(185.00),164.00,759.00,(126.00),251.00
Cash from Financing Activities,(286.00),30.00,594.00,(264.00),102.00
Foreign Exchange Effects,(74.00),10.00,(39.00),(76.00),(72.00)
Net Change in Cash,64.00,(364.00),741.00,(22.00),191.00
Deferred Taxes,16.00,(5.00),(9.00),--,--
Financing Cash Flow Items,0.00,--,--,--,--
