,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"1,465.00","1,626.00","1,378.00","1,320.00","1,139.00"
Total Revenue,"1,465.00","1,626.00","1,378.00","1,320.00","1,139.00"
"Cost of Revenue, Total",144.00,157.00,152.00,146.00,139.00
Gross Profit,"1,321.00","1,469.00","1,226.00","1,174.00","1,000.00"
"Selling/General/Admin. Expenses, Total",480.00,527.00,488.00,461.00,400.00
Depreciation/Amortization,125.00,123.00,76.00,73.00,57.00
Unusual Expense (Income),42.00,23.00,31.00,7.00,26.00
"Other Operating Expenses, Total",261.00,274.00,201.00,211.00,173.00
Total Operating Expense,"1,052.00","1,104.00",948.00,898.00,795.00
Operating Income,413.00,522.00,430.00,422.00,344.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(2.00),(5.00),(4.00),(24.00),(34.00)
"Other, Net",(21.00),(18.00),(22.00),(15.00),(16.00)
Net Income Before Taxes,390.00,499.00,404.00,383.00,294.00
Provision for Income Taxes,124.00,153.00,119.00,106.00,102.00
Net Income After Taxes,266.00,346.00,285.00,277.00,192.00
Minority Interest,(28.00),(34.00),(31.00),(36.00),(12.00)
Net Income Before Extra. Items,238.00,312.00,254.00,241.00,180.00
Net Income,238.00,312.00,254.00,241.00,180.00
Income Available to Com Excl ExtraOrd,238.00,312.00,254.00,241.00,180.00
Income Available to Com Incl ExtraOrd,238.00,312.00,254.00,241.00,180.00
Diluted Net Income,238.00,312.00,254.00,241.00,180.00
Diluted Weighted Average Shares,245.41,241.00,236.45,233.06,232.74
Diluted EPS Excluding ExtraOrd Items,0.97,1.29,1.07,1.03,0.77
DPS - Common Stock Primary Issue,0.75,0.70,0.86,0.85,0.62
Diluted Normalized EPS,1.09,1.39,1.17,1.06,0.85
Dilution Adjustment,0.00,0.00,0.00,--,--
