NAME,AGE,POSITION,APPOINTED
Bertrand Dumazy,49,"Chairman Of The Board, Chief Executive Officer, Member Of The Executive Committee",2015
Francoise Gri,63,"Lead Independent Director, Vice Chairman Of The Board Of Directors",2017
Julien Tanguy,48,"Member Of The Executive Committee, Executive Vice President - Finance",2021
Philippe Relland-Bernard,--,"Member Of The Executive Committee, Executive Vice President, Legal And Regulatory Affairs, Secretary",--
Eric Sauvage,48,"Member Of The Executive Committee, Executive Vice President - Marketing And Strategy",2020
Jacques Adoue,--,"Member Of The Executive Committee, Executive Vice President, Human Resources And Corporate Social Responsibility",2017
Patrick Rouvillois,52,"Member Of The Executive Committee, Executive Vice President, Innovation And Asia-Pacific",2020
Dave Ubachs,--,"Member Of The Executive Committee, Executive Vice President - Global Technology",2020
Emmanuelle Chaetelain,45,"Member Of The Executive Committee, Vice President - Communications",2020
Razvan Popescu,--,HR Director For Global Technology,2021
Gilles Coccoli,--,"Member Of The Executive Committee, Chief Operating Officer For Americas",2018
Antoine Dumurgier,--,"Member Of The Executive Committee, Chief Operating Officer For Fleet And Mobility Solutions",2016
Arnaud Erulin,--,"Member Of The Executive Committee, Chief Operating Officer For Europe, Middle East And Africa",2018
Jean-Urbain Hubau,40,"Member Of The Executive Committee, Chief Operating Officer For Of Edenred'S Fleet And Mobility Solutions",2021
Graziella Gavezotti,69,Director - Employee Representative,2020
Jean-Bernard Hamel,60,Director - Employees Representative,2018
Jean-Paul Bailly,74,Independent Director,2010
Anne Bouverot,55,Independent Director,2010
Sylvia Coutinho,59,Independent Director,2016
Dominique D'Hinnin,61,Independent Director,2017
Alexandre De Juniac,58,Independent Director,2020
Gabriele Galateri Di Genola,74,Independent Director,2010
Maeelle Mary Gavet,42,Independent Director,2014
Jean-Romain Lhomme,45,Independent Director,2013
