,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(893.00),"1,649.00","1,629.00","2,107.00",163.00
Depreciation/Depletion,"8,760.00","7,083.00","5,077.00","6,217.00","9,252.00"
Non-Cash Items,920.00,"1,129.00","1,776.00",302.00,(187.00)
Cash Taxes Paid,599.00,575.00,757.00,905.00,896.00
Cash Interest Paid,852.00,930.00,727.00,744.00,817.00
Changes in Working Capital,"(1,198.00)","(1,684.00)",(609.00),693.00,946.00
Cash from Operating Activities,"7,589.00","8,177.00","7,873.00","9,319.00","10,174.00"
Capital Expenditures,"(5,115.00)","(6,524.00)","(6,202.00)","(5,778.00)","(5,290.00)"
"Other Investing Cash Flow Items, Total","1,069.00",(669.00),107.00,607.00,"1,635.00"
Cash from Investing Activities,"(4,046.00)","(7,193.00)","(6,095.00)","(5,171.00)","(3,655.00)"
Financing Cash Flow Items,"(1,795.00)",(169.00),"1,161.00",(827.00),"(1,011.00)"
"Issuance (Retirement) of Stock, Net",181.00,"(1,372.00)",174.00,346.00,(20.00)
"Issuance (Retirement) of Debt, Net","1,052.00","3,587.00",(604.00),"(1,382.00)","(1,848.00)"
Cash from Financing Activities,(562.00),212.00,"(1,928.00)","(4,734.00)","(6,034.00)"
Foreign Exchange Effects,(520.00),623.00,(79.00),(297.00),157.00
Net Change in Cash,"2,461.00","1,819.00",(229.00),(883.00),642.00
Total Cash Dividends Paid,"(1,834.00)","(2,659.00)","(2,871.00)","(3,155.00)","(3,107.00)"
