,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"55,751.00","60,058.00","56,967.00","59,576.00","64,840.00"
Total Revenue,"55,751.00","60,058.00","56,967.00","59,576.00","64,840.00"
"Cost of Revenue, Total","34,967.00","39,950.00","38,660.00","31,532.00","36,680.00"
"Selling/General/Admin. Expenses, Total","11,998.00","11,582.00","10,624.00","10,051.00","9,996.00"
Depreciation/Amortization,"4,650.00","4,497.00","4,497.00","3,966.00","4,397.00"
"Interest Exp.(Inc.),Net-Operating, Total",(552.00),(500.00),(361.00),(422.00),(752.00)
Unusual Expense (Income),"3,156.00","1,624.00","2,257.00","2,438.00","3,512.00"
"Other Operating Expenses, Total",47.00,(771.00),"(1,355.00)","9,276.00","8,883.00"
Total Operating Expense,"54,266.00","56,382.00","54,322.00","56,841.00","62,716.00"
Operating Income,"1,485.00","3,676.00","2,645.00","2,735.00","2,124.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(836.00),(787.00),(720.00),(860.00),(921.00)
"Other, Net",(826.00),(600.00),(661.00),(528.00),(400.00)
Net Income Before Taxes,(177.00),"2,289.00","1,264.00","1,347.00",803.00
Provision for Income Taxes,715.00,640.00,704.00,(395.00),481.00
Net Income After Taxes,(892.00),"1,649.00",560.00,"1,742.00",322.00
Minority Interest,(644.00),(664.00),(573.00),(695.00),(626.00)
Net Income Before Extra. Items,"(1,536.00)",985.00,(13.00),"1,047.00",(304.00)
Net Income,"(1,536.00)",985.00,"1,032.00","1,320.00",(415.00)
Total Adjustments to Net Income,(187.00),(165.00),(145.00),(147.00),(145.00)
Income Available to Com Excl ExtraOrd,"(1,723.00)",820.00,(158.00),"1,047.00",(451.00)
Income Available to Com Incl ExtraOrd,"(1,723.00)",820.00,887.00,"1,320.00",(562.00)
Diluted Net Income,"(1,723.00)",820.00,887.00,"1,320.00",(562.00)
Diluted Weighted Average Shares,"2,416.00","2,425.00","2,396.00","2,396.00","2,396.00"
Diluted EPS Excluding ExtraOrd Items,(0.71),0.34,(0.07),0.44,(0.19)
DPS - Common Stock Primary Issue,0.53,0.00,0.75,0.70,1.00
Diluted Normalized EPS,0.14,0.82,0.35,1.10,0.40
Total Extraordinary Items,0.00,"1,045.00",273.00,(111.00),--
