,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"14,653.80","17,768.30","17,524.70","16,962.10","18,710.50"
Total Revenue,"14,653.80","17,768.30","17,524.70","16,962.10","18,710.50"
"Cost of Revenue, Total","13,163.70","15,282.40","15,252.60","14,843.50","16,784.60"
Gross Profit,"1,490.10","2,485.90","2,272.10","2,118.60","1,925.90"
"Selling/General/Admin. Expenses, Total",726.10,778.50,703.20,680.40,651.00
Research & Development,342.50,420.00,298.80,281.70,44.90
Depreciation/Amortization,91.70,56.40,10.90,1.20,239.30
Unusual Expense (Income),299.50,218.30,149.20,94.30,128.20
Total Operating Expense,"14,623.50","16,755.60","16,414.70","15,901.10","17,848.00"
Operating Income,30.30,"1,012.70","1,110.00","1,061.00",862.50
"Interest Inc.(Exp.),Net-Non-Op., Total",(194.40),(183.10),(121.60),(112.20),(144.20)
Gain (Loss) on Sale of Assets,1.80,0.70,(0.70),1.90,2.90
"Other, Net",(23.00),(36.60),(36.50),(19.10),(18.20)
Net Income Before Taxes,(185.30),793.70,951.90,929.00,702.00
Provision for Income Taxes,123.40,166.80,190.00,260.70,189.20
Net Income After Taxes,(308.70),626.90,761.90,668.30,512.80
Minority Interest,(57.30),(75.00),(92.50),(96.10),(83.00)
Equity In Affiliates,(12.80),37.80,31.40,34.60,19.70
Net Income Before Extra. Items,(378.80),589.70,700.80,606.80,449.50
Net Income,(378.80),589.70,700.80,599.40,637.80
Income Available to Com Excl ExtraOrd,(378.80),589.70,700.80,606.80,449.50
Income Available to Com Incl ExtraOrd,(378.80),589.70,700.80,599.40,637.80
Diluted Net Income,(378.80),589.70,700.80,599.40,637.80
Diluted Weighted Average Shares,137.54,137.53,137.73,137.98,137.18
Diluted EPS Excluding ExtraOrd Items,(2.75),4.29,5.09,4.40,3.28
DPS - Common Stock Primary Issue,1.00,0.00,1.25,1.10,0.90
Diluted Normalized EPS,(0.89),5.63,5.97,4.90,3.95
Total Extraordinary Items,0.00,(7.40),188.30,60.80,--
Dilution Adjustment,0.00,0.00,0.22,--,--
