TITLE,SUMMARY,DATE
Faurecia Acquires DesignLED,June 9 (Reuters) - FAURECIA SE <EPED.PA>::ACQUISITION OF SCOTLAND-BASED COMPANY DESIGNLED.DESIGNLED WILL STRENGTHEN FAURECIA'S OFFER FOR DISPLAY TECHNOLOGIES AND ENRICH ITS IMMERSIVE EXPERIENCES FOR THE COCKPIT OF THE FUTURE.,4 days ago
Faurecia Wins Hydrogen Tanks Contract From SAIC,May 18 (Reuters) - Faurecia SE <EPED.PA>::RECENT AWARD BY SAIC FOR ITS HYDROGEN TANKS ENABLES FAURECIA TO REACH OVER EUR 250M OF LIFETIME SALES IN HYDROGEN MOBILITY TO DATE.HAS BEEN AWARDED A CONTRACT BY SAIC TO PROVIDE HYDROGEN TANKS FOR A LARGE FLEET OF COMMERCIAL VEHICLES.,a month ago
Faurecia Expects In Q2-Q4 EUR 350 Mln Or Slightly Above From New Seating Programs - Conf Call,"April 19 (Reuters) - FAURECIA SE <EPED.PA>::IMPACT ON Q1 SALES OF SHORTAGE OF ELECTRONIC COMPONENTS ESTIMATED AT AT LEAST EUR 9 MILLION - CFO IN CONF CALL.FROM Q2 TO END OF YEAR, SEES EUR 350 MILLION OR SLIGHTLY ABOVE FROM NEW SEATING PROGRAMS - CONF CALL.Further company coverage: EPED.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).",2 months ago
Faurecia ‍Q1 Sales Up At EUR 4.01 Billion,"April 19 (Reuters) - FAURECIA SE <EPED.PA>:Q1 SALES EUR 4.01 BILLION VERSUS EUR 3.68 BILLION YEAR AGO.‍2022 AND 2025 TARGETS AND AMBITION THAT WERE PRESENTED DURING THE CAPITAL MARKETS DAY OF FEBRUARY 22 ARE ALSO CONFIRMED.‍GROWTH WAS PARTICULARLY STRONG IN CHINA, WHERE OUR SALES EXCEEDED PRE-COVID SALES OF Q1 2019 - CEO.‍FULL-YEAR FINANCIAL TARGETS CONFIRMED.IN Q2 WE WILL DELIVER VERY STRONG ORGANIC SALES GROWTH AND OUTPERFORMANCE - CEO.",2 months ago
Michelin Updates On Subsidiary Symbio Development Projects,"April 15 (Reuters) - Faurecia SE <EPED.PA>::MICHELIN SUBSIDIARY SYMBIO IS BOOSTING HYDROGEN MOBILITY.WORKING ON TWO DEVELOPMENT PROJECTS: ONE WITH BUS MAKER SAFRA, THE OTHER WITH STELLANTIS.IS DETERMINED TO BECOME A WORLD LEADER IN HYDROGEN FUEL CELL SYSTEMS THROUGH SYMBIO, ITS JOINT VENTURE WITH FAURECIA.Further company coverage: EPED.PA. (Gdansk Newsroom). ((Gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).",2 months ago
Faurecia Invests In A State-Of-The-Art Industrial Platform For A Total Cost Of 165 Million Euros,"March 19 (Reuters) - Faurecia SE <EPED.PA>::FAURECIA INVESTS IN A STATE-OF-THE-ART INDUSTRIAL PLATFORM IN THE BOURGOGNE-FRANCHE-COMTÉ REGION.TOTAL COST OF €165 MILLION.CONSTRUCTION OF A NEW INDUSTRY 4.0 PLATFORM IN THE BOURGOGNE-FRANCHE-COMTÉ REGION OF FRANCE FOR A TOTAL COST OF €165 MILLION.EMPLOYING OVER 1,000 PEOPLE IN THE LONG TERM, THE NEW SITE WILL PRODUCE SEATS, INNOVATIVE SOLUTIONS FOR REDUCING VEHICLE EMISSIONS, AND HYDROGEN STORAGE SYSTEMS.IN 2022, THE SITE WILL BEGIN COMPLETE SEAT ASSEMBLY, HARNESSING THE LATEST TECHNOLOGICAL ADVANCES IN AUTOMATION AND ROBOTIZATION.",3 months ago
Faurecia Successfully Prices EUR 400 Mln Of Senior Green Notes,March 17 (Reuters) - FAURECIA SE <EPED.PA>::SUCCESSFULLY PRICES EUR 400 MILLION OF SENIOR GREEN NOTES DUE 2029.PRICED 2029 GREEN NOTES AT 2.375%.GREEN NOTES ARE INAUGURAL ISSUE OF GREEN BONDS UNDER FAURECIA'S GREEN BOND FRAMEWORK ESTABLISHED IN MARCH 2021.SETTLEMENT OF GREEN NOTES IS EXPECTED TO OCCUR ON 22 MARCH 2021.,3 months ago
Car parts group Faurecia to offer €400 million of senior green notes due 2029,"March 17 (Reuters) - Faurecia SE <EPED.PA>::Faurecia has announced today that it will make an offering of €400 million of 2029 Green Notes. The Green Notes are the inaugural issue of green bonds under Faurecia's Green Bond Framework established in March 2021..Faurecia will use the net proceeds of the offering of the Green Notes to finance or refinance, in whole or in part, eligible green projects in accordance with its green bond framework..The launch of this inaugural green bond is fully in line with Faurecia’s commitment to sustainable mobility, and in particular with the Group’s ambition to invest in hydrogen mobility which is gaining momentum around the world. By 2030, Faurecia estimates that 2.5 million passenger and commercial vehicles will be produced in 2030 representing a market of €17 billion..Further company coverage: EPED.PA. (Reporting by Sudip Kar-Gupta). ((sudip.kargupta@thomsonreuters.com;)).",3 months ago
Palantir Technologies enters six-year partnership with Faurecia,"March 11 (Reuters) - Palantir Technologies Inc <PLTR.N> on Thursday in a statement::PALANTIR AND FAURECIA EMBARK ON LONG-TERM STRATEGIC PARTNERSHIP.ENTER SIX-YEAR STRATEGIC PARTNERSHIP WITH FAURECIA.PALANTIR FOUNDRY WILL ALLOW FAURECIA TO REDUCE RAW MATERIAL CONSUMPTION, IMPROVE RESEARCH AND DEVELOPMENT COMPETITIVENESS, SECURE PURCHASING EXCELLENCE AND TRACK AND MEASURE OVERALL CO2 NEUTRALITY EFFORTS.Further company coverage: <PLTR.N>. (Paris newsroom). ((+33 1 49 49 53 29;)).",4 months ago
Stellantis: distribution of Faurecia shares and cash has become unconditional,March 10 (Reuters) - Stellantis/Faurecia <EPED.PA>::DISTRIBUTION OF FAURECIA SHARES AND CASH HAS BECOME UNCONDITIONAL.STELLANTIS: DISTRIBUTION OF FAURECIA SHARES AND CASH HAS BECOME UNCONDITIONAL. (Reporting by Sudip Kar-Gupta). ((sudip.kargupta@thomsonreuters.com;)).,4 months ago
