,31-Aug-20,31-Aug-19,31-Aug-18,31-Aug-17,31-Aug-16
Net Income/Starting Line,65.00,"1,057.00",993.00,"1,184.00","1,089.00"
Depreciation/Depletion,896.00,365.00,317.00,281.00,308.00
Non-Cash Items,185.00,8.00,24.00,(23.00),43.00
Cash Taxes Paid,202.00,204.00,128.00,271.00,313.00
Cash Interest Paid,316.00,129.00,117.00,120.00,143.00
Changes in Working Capital,(516.00),(162.00),(201.00),(380.00),(495.00)
Cash from Operating Activities,630.00,"1,268.00","1,133.00","1,062.00",945.00
Capital Expenditures,(398.00),(400.00),(329.00),(309.00),(345.00)
"Other Investing Cash Flow Items, Total",(32.00),(409.00),(671.00),(303.00),(140.00)
Cash from Investing Activities,(430.00),(809.00),"(1,000.00)",(612.00),(485.00)
Financing Cash Flow Items,(33.00),(20.00),(19.00),(5.00),(22.00)
Total Cash Dividends Paid,(425.00),(403.00),(411.00),(359.00),(335.00)
"Issuance (Retirement) of Stock, Net",(39.00),(6.00),(345.00),(318.00),(218.00)
"Issuance (Retirement) of Debt, Net",695.00,21.00,430.00,"1,004.00",(526.00)
Cash from Financing Activities,198.00,(408.00),(345.00),322.00,"(1,101.00)"
Foreign Exchange Effects,(123.00),58.00,(130.00),(139.00),19.00
Net Change in Cash,275.00,109.00,(342.00),633.00,(622.00)
