,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"3,703.00","3,991.00","3,293.00","3,142.00","1,781.00"
Cash & Equivalents,"1,489.00",429.00,403.00,"1,395.00","2,685.00"
Short Term Investments,64.00,217.00,56.00,50.00,19.00
Cash and Short Term Investments,"5,256.00","4,637.00","3,752.00","4,587.00","4,485.00"
"Accounts Receivable - Trade, Net","5,105.00","5,467.00","5,311.00","4,977.00","4,292.00"
"Total Receivables, Net","6,728.00","7,061.00","6,820.00","6,328.00","5,482.00"
Total Inventory,803.00,745.00,740.00,683.00,728.00
Prepaid Expenses,206.00,264.00,238.00,142.00,168.00
Total Current Assets,"12,993.00","12,707.00","11,550.00","11,740.00","10,863.00"
"Property/Plant/Equipment, Total - Gross","6,291.00","5,422.00","4,477.00","4,162.00","4,009.00"
"Accumulated Depreciation, Total","(3,465.00)","(2,716.00)","(2,624.00)","(2,513.00)","(2,424.00)"
"Property/Plant/Equipment, Total - Net","2,826.00","2,706.00","1,853.00","1,649.00","1,585.00"
"Goodwill, Net","3,408.00","3,703.00","3,219.00","2,995.00","2,945.00"
"Intangibles, Net","11,853.00","11,086.00","11,186.00","11,363.00","11,583.00"
Long Term Investments,727.00,771.00,597.00,265.00,243.00
Note Receivable - Long Term,76.00,65.00,95.00,96.00,124.00
"Other Long Term Assets, Total","1,838.00","1,839.00","1,868.00","1,918.00","2,160.00"
Total Assets,"33,721.00","32,877.00","30,368.00","30,026.00","29,503.00"
Accounts Payable,"3,860.00","3,967.00","3,529.00","3,098.00","2,921.00"
Accrued Expenses,"1,652.00","1,768.00","1,727.00","1,633.00",915.00
Notes Payable/Short Term Debt,125.00,127.00,123.00,145.00,"1,685.00"
Current Port. of LT Debt/Capital Leases,"3,417.00","4,454.00","2,853.00","2,873.00","1,716.00"
"Other Current liabilities, Total","3,454.00","3,241.00","3,416.00","3,365.00","3,635.00"
Total Current Liabilities,"12,508.00","13,557.00","11,648.00","11,114.00","10,872.00"
Long Term Debt,"12,066.00","10,698.00","11,422.00","12,119.00","12,706.00"
Capital Lease Obligations,749.00,642.00,--,--,--
Total Long Term Debt,"12,815.00","11,340.00","11,422.00","12,119.00","12,706.00"
Total Debt,"16,357.00","15,921.00","14,398.00","15,137.00","16,107.00"
Deferred Income Tax,949.00,811.00,854.00,881.00,984.00
Minority Interest,"1,172.00",983.00,879.00,847.00,623.00
"Other Liabilities, Total",976.00,938.00,809.00,775.00,676.00
Total Liabilities,"28,420.00","27,629.00","25,612.00","25,736.00","25,861.00"
"Common Stock, Total",392.00,392.00,392.00,392.00,392.00
Retained Earnings (Accumulated Deficit),"5,121.00","5,013.00","4,496.00","4,057.00","3,487.00"
"Other Equity, Total",(212.00),(157.00),(132.00),(159.00),(237.00)
Total Equity,"5,301.00","5,248.00","4,756.00","4,290.00","3,642.00"
Total Liabilities & Shareholders' Equity,"33,721.00","32,877.00","30,368.00","30,026.00","29,503.00"
Total Common Shares Outstanding,96.84,97.78,96.65,96.11,92.96
"Tangible Book Value per Share, Common Eq",(102.85),(97.57),(99.84),(104.76),(117.10)
"Other Current Assets, Total",0.00,0.00,--,--,--
