,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"16,659.00","18,690.00","16,890.00","15,368.00","14,307.00"
Total Revenue,"16,659.00","18,690.00","16,890.00","15,368.00","14,307.00"
"Cost of Revenue, Total","2,910.00","3,257.00","3,044.00","2,838.00","2,484.00"
Gross Profit,"13,749.00","15,433.00","13,846.00","12,530.00","11,823.00"
"Selling/General/Admin. Expenses, Total","4,239.00","4,295.00","4,050.00","3,747.00","3,667.00"
Depreciation/Amortization,"1,192.00","1,041.00",864.00,841.00,820.00
"Interest Exp.(Inc.),Net-Operating, Total",4.00,(4.00),(2.00),(8.00),(12.00)
Unusual Expense (Income),22.00,56.00,40.00,46.00,57.00
"Other Operating Expenses, Total","7,079.00","8,108.00","7,088.00","6,228.00","5,765.00"
Total Operating Expense,"15,446.00","16,753.00","15,084.00","13,692.00","12,781.00"
Operating Income,"1,213.00","1,937.00","1,806.00","1,676.00","1,526.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(239.00),(247.00),(356.00),(476.00),(521.00)
"Other, Net",(30.00),(17.00),(24.00),(29.00),(61.00)
Net Income Before Taxes,944.00,"1,673.00","1,426.00","1,171.00",944.00
Provision for Income Taxes,330.00,560.00,461.00,336.00,167.00
Net Income After Taxes,614.00,"1,113.00",965.00,835.00,777.00
Minority Interest,(239.00),(388.00),(336.00),(287.00),(302.00)
Net Income Before Extra. Items,375.00,725.00,629.00,548.00,475.00
Net Income,375.00,725.00,629.00,548.00,475.00
Income Available to Com Excl ExtraOrd,375.00,725.00,629.00,548.00,475.00
Income Available to Com Incl ExtraOrd,375.00,725.00,629.00,548.00,475.00
Diluted Net Income,375.00,725.00,629.00,548.00,475.00
Diluted Weighted Average Shares,98.68,98.00,98.18,97.45,95.36
Diluted EPS Excluding ExtraOrd Items,3.80,7.40,6.41,5.62,4.98
DPS - Common Stock Primary Issue,3.00,0.00,2.40,2.00,1.50
Diluted Normalized EPS,3.95,7.78,6.68,5.96,5.47
