NAME,AGE,POSITION,APPOINTED
Benoit De Ruffray,54,"Chairman Of The Board, Chief Executive Officer, Chairman Of The Energy Systems Division, Member Of The Executive Committee",2016
Jean-Francois Roverato,75,"Vice Chairman Of The Board, Senior Director",2015
Christian Cassayre,55,"Chief Financial Officer, Member Of The Executive Committee",2011
Thierry Wolkiewiez,--,Chief Executive Officer - France,2020
Olivier Genis,59,"Chairman Of The Construction Division, Member Of The Executive Committee",2017
Laurent Girou,--,"Chairman Of Eiffage Route, Member Of The Executive Committee",2019
Marc Legrand,65,"Member Of The Executive Committee, Chairman Of Eiffage Concessions",2017
Philippe Nourry,61,"President Of French Motorway Concessions, Chairman Of A'Lienor, Member Of The Executive Committee",2018
Guillaume Sauve,47,"Chairman Of Eiffage Genie Civil And Chairman Of Eiffage Metal, Member Of The Executive Committee",2019
Laurent Dupont,55,Director - Representative Of Employee Shareholders,2012
Therese Cornil,77,Independent Director,2011
Bruno Flichy,81,Independent Director,2019
Odile Georges-Picot,64,Independent Director,2018
Jean Guenard,73,Independent Director,2019
Marie Lemarie,48,Independent Director,2012
Dominique Marcel,65,Independent Director,2016
Isabelle Salaun,58,Independent Director,--
Carol Xueref,64,Independent Director,2016
