,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Equivalents,628.91,524.51,606.53,612.53,346.64
Short Term Investments,0.20,0.21,0.20,0.00,107.04
Cash and Short Term Investments,629.10,524.72,606.73,612.53,453.67
"Accounts Receivable - Trade, Net",79.20,79.49,97.49,96.42,94.34
"Total Receivables, Net",126.55,143.76,151.45,145.69,151.61
Total Inventory,2.74,2.52,2.29,1.84,3.01
Prepaid Expenses,9.43,14.22,8.52,9.52,4.79
Total Current Assets,767.81,685.22,768.99,769.58,613.08
"Property/Plant/Equipment, Total - Gross","15,145.81","15,079.73","14,844.30","14,588.58","14,351.19"
"Accumulated Depreciation, Total","(8,602.45)","(8,521.21)","(8,365.97)","(8,235.88)","(8,104.97)"
"Property/Plant/Equipment, Total - Net","6,543.36","6,558.52","6,478.33","6,352.70","6,246.22"
"Goodwill, Net",20.39,20.39,20.39,20.39,119.96
"Intangibles, Net",167.02,155.20,158.49,119.96,0.00
Long Term Investments,368.63,407.77,358.47,11.70,158.36
"Other Long Term Assets, Total",191.17,204.64,210.36,217.42,121.70
Total Assets,"8,058.39","8,031.73","7,995.04","7,491.75","7,259.32"
Accounts Payable,112.26,128.36,122.89,132.91,146.16
Accrued Expenses,66.08,65.77,71.37,68.80,64.58
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,75.78,72.73,50.06,62.79,26.32
"Other Current liabilities, Total",64.99,69.81,93.19,114.29,53.36
Total Current Liabilities,319.11,336.66,337.50,378.79,290.43
Long Term Debt,"4,850.19","4,852.74","4,758.65","4,219.53","3,687.21"
Capital Lease Obligations,28.28,18.05,0.00,8.59,--
Total Long Term Debt,"4,878.47","4,870.78","4,758.65","4,219.53","3,687.21"
Total Debt,"4,954.25","4,943.51","4,808.71","4,282.32","3,713.54"
"Other Liabilities, Total","1,489.10","1,185.64",892.61,842.42,"1,469.96"
Total Liabilities,"6,686.68","6,393.08","5,988.75","5,440.74","5,446.95"
"Common Stock, Total",220.00,220.00,220.00,220.00,220.00
Additional Paid-In Capital,"1,711.80","1,711.80","1,711.80","1,711.80","1,711.80"
Retained Earnings (Accumulated Deficit),(872.44),(516.15),(230.80),(173.17),(355.20)
"Other Equity, Total",312.35,223.00,305.28,292.39,235.78
Total Equity,"1,371.71","1,638.65","2,006.28","2,051.01","1,812.38"
Total Liabilities & Shareholders' Equity,"8,058.39","8,031.73","7,995.04","7,491.75","7,259.32"
Total Common Shares Outstanding,538.02,537.05,534.75,534.22,533.56
Total Preferred Shares Outstanding,0.00,0.00,0.00,0.00,0.00
"Tangible Book Value per Share, Common Eq",2.20,2.72,3.42,3.58,3.17
Minority Interest,0.00,(0.65),(0.34),--,--
"Other Current Assets, Total",0.00,64.68,--,--,--
