,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,815.92,"1,085.28","1,079.45","1,032.98","1,023.48"
Total Revenue,815.92,"1,085.28","1,079.45","1,032.98","1,023.48"
"Cost of Revenue, Total",252.34,272.71,270.20,278.18,285.58
Gross Profit,563.58,812.57,809.25,754.79,737.90
"Selling/General/Admin. Expenses, Total",235.31,252.32,240.15,228.55,224.27
Depreciation/Amortization,186.43,181.74,173.94,152.59,149.24
Unusual Expense (Income),4.99,3.18,2.65,4.73,(47.67)
"Other Operating Expenses, Total",1.58,(33.72),(0.20),4.22,11.23
Total Operating Expense,680.66,676.24,686.74,668.28,623.41
Operating Income,135.27,409.04,392.71,364.70,400.08
"Interest Inc.(Exp.),Net-Non-Op., Total",(211.11),(215.38),(205.96),(186.51),(214.70)
"Other, Net",(45.23),(37.33),(57.43),(126.56),(31.69)
Net Income Before Taxes,(121.07),156.32,129.32,51.63,153.69
Provision for Income Taxes,0.31,(2.02),(1.07),(56.53),17.45
Net Income After Taxes,(121.39),158.34,130.39,108.17,136.24
Net Income Before Extra. Items,(121.39),158.34,130.39,107.82,136.55
Total Extraordinary Items,8.68,0.60,(0.07),5.12,64.03
Net Income,(112.70),158.94,130.32,112.93,200.59
Income Available to Com Excl ExtraOrd,(121.39),158.34,130.39,107.82,136.55
Income Available to Com Incl ExtraOrd,(112.70),158.94,130.32,112.93,200.59
Diluted Net Income,(112.70),156.99,129.39,112.93,199.68
Diluted Weighted Average Shares,537.41,541.35,539.13,539.02,539.68
Diluted EPS Excluding ExtraOrd Items,(0.23),0.29,0.24,0.20,0.25
DPS - Common Stock Primary Issue,0.05,0.00,0.36,0.30,0.26
Diluted Normalized EPS,(0.22),0.29,0.24,0.21,0.17
Dilution Adjustment,(1.95),(0.93),(0.90),(2.39),--
Minority Interest,0.00,(0.35),0.31,0.23,--
"Interest Exp.(Inc.),Net-Operating, Total",0.00,0.76,1.32,--,--
