NAME,AGE,POSITION,APPOINTED
Jacques Gounon,67,Non-Executive Chairman Of The Board,2020
Yann Leriche,48,"Chief Executive Officer, Executive Director",2021
Geraldine Perichon,42,"Chief Financial Officer, Member Of The Executive Board",2020
Michel Boudoussier,56,"Chief Corporate Officer, Member Of The Executive Committee",2018
Philippe De Lagune,70,"Chief Operating Officer - Institutions, Member Of The Executive Committee",2020
Anne-Laure Descleves,45,"Director Of Communications And Brand, Member Of The Executive Committee",2020
Raphaeel Doutrebente,51,"Chairman Of Europorte, Member Of The Executive Committee",2021
Laurent Fourtune,51,"Chief Operating Officer - Eurotunnel, Member Of The Executive Committee",2018
John Keefe,60,"Director Of Public Affaira, Member Of The Executive Committee",2020
Deborah Merrens,55,"Eurotunnel Chief Commercial And Marketing Officer, Member Of The Executive Committee",2020
Steven Moore,51,"Chief Executive Officer - ElecLink, Member Of The Executive Committee",--
Clarie Piccolin,59,Company Secretary To The Getlink Board Of Directors - Compliance Officer,--
Carlo Bertazzo,55,Non-Executive Director,2020
Elisabetta De Bernardi Di Valserra,44,Non-Executive Director,2018
Stephane Sauvage,54,Non-Executive Director - Staff Representative,--
Philippe Vanderbec,53,Non-Executive Director - Staff Representative,--
Corinne Bach,47,Non-Executive Independent Director,2016
Bertrand Badre,52,Non-Executive Independent Director,2017
Sharon Flood,55,Non-Executive Independent Director,2020
Patricia M.P. Hewitt,73,Non-Executive Independent Director,2010
Jean-Marc Janaillac,67,Non-Executive Independent Director,2020
Peter Levene,80,Non-Executive Independent Director,2012
Colette Lewiner,75,Non-Executive Independent Director,2012
Pierrette Rey,77,Non-Executive Independent Director,2013
Jean-Pierre Trotignon,71,Non-Executive Independent Director,2010
Timothy Stephen Kenneth Yeo,76,Non-Executive Independent Director,2007
