,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"6,099.50","6,622.30","5,997.20","5,520.80","5,018.90"
Total Revenue,"6,099.50","6,622.30","5,997.20","5,520.80","5,018.90"
"Cost of Revenue, Total","2,915.70","3,184.50","2,869.70","2,627.00","2,381.00"
Gross Profit,"3,183.80","3,437.80","3,127.50","2,893.80","2,637.90"
"Selling/General/Admin. Expenses, Total","1,666.50","1,764.40","1,606.80","1,511.60","1,364.70"
Research & Development,319.40,312.00,276.50,252.10,237.70
"Other Operating Expenses, Total",132.50,124.00,105.20,104.50,101.50
Total Operating Expense,"5,034.10","5,384.90","4,858.20","4,495.20","4,084.90"
Operating Income,"1,065.40","1,237.40","1,139.00","1,025.60",934.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(103.50),(81.20),(64.90),(86.70),(83.90)
Net Income Before Taxes,961.90,"1,156.20","1,074.10",938.90,850.10
Provision for Income Taxes,279.20,318.30,301.30,224.20,218.60
Net Income After Taxes,682.70,837.90,772.80,714.70,631.50
Minority Interest,(0.80),(1.30),(0.70),(2.00),(1.70)
Equity In Affiliates,(0.70),(1.80),(0.40),(1.50),(1.30)
Net Income Before Extra. Items,681.20,834.80,771.70,711.20,628.50
Net Income,681.20,834.80,771.70,711.20,628.50
Income Available to Com Excl ExtraOrd,681.20,834.80,771.70,711.20,628.50
Income Available to Com Incl ExtraOrd,681.20,834.80,771.70,711.20,628.50
Diluted Net Income,681.20,834.80,771.70,711.20,628.50
Diluted Weighted Average Shares,269.11,269.06,269.02,268.79,268.71
Diluted EPS Excluding ExtraOrd Items,2.53,3.10,2.87,2.65,2.34
DPS - Common Stock Primary Issue,1.42,1.34,0.79,1.26,1.19
Diluted Normalized EPS,2.50,3.19,2.94,2.71,2.41
