NAME,AGE,POSITION,APPOINTED
Angeles Garcia-Poveda,50,Independent Chairman Of The Board,2020
Benoit Coquart,47,"Chief Executive Officer, Member Of The Executive Board, Director",2020
Antoine Burel,58,"Deputy Chief Executive Officer, Executive Vice President, Group Operations, Member Of The Executive Committee",2019
Franck Lemery,--,"Chief Financial Officer, Member Of The Executive Committee",2019
Benedicte Bahier,--,"Executive Vice President Of Human Resources, Member Of The Executive Committee",2018
Karine Alquier-Caro,49,"Executive Vice President - Purchasing, Member Of The Executive Committee",2012
Jean-Luc Cartet,--,"Executive Vice President - Asia-Pacific, Middle East, Africa, South America, Member Of The Executive Committee",--
Gloria Glang,--,"Executive Vice President - Strategy And Development, Member Of The Executive Committee",2019
Frederic Xerri,51,"Executive Vice President, Europe, Member Of The Executive Committee",2018
John Selldorff,61,"President And Chief Executive Officer Of Legrand North & Central America, Member Of The Executive Committee",2014
Michel Landel,69,Lead Independent Director,2020
Olivier Bazil,74,Director,2011
Sophie Bourdais,53,Director - Representative Of Employees,2020
Philippe Jeulin,63,Director - Representative Of Employees,2018
Gilles Schnepp,62,Director,2020
Isabelle Boccon-Gibod,53,Independent Director,2016
Christel Bories,56,Independent Director,2012
Annalisa Loustau Elia,55,Independent Director,2013
Edward A. Gilhuly,61,Independent Director,2018
Patrick Koller,62,Independent Director,2018
Eliane Rouyer-Chevalier,68,Independent Director,2011
