,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"44,651.00","53,670.00","46,826.00","42,636.00","37,600.00"
Total Revenue,"44,651.00","53,670.00","46,826.00","42,636.00","37,600.00"
"Cost of Revenue, Total","15,871.00","18,123.00","15,625.00","14,783.00","13,039.00"
Gross Profit,"28,780.00","35,547.00","31,201.00","27,853.00","24,561.00"
"Selling/General/Admin. Expenses, Total","20,433.00","24,071.00","21,221.00","19,557.00","17,538.00"
"Interest Exp.(Inc.),Net-Operating, Total",42.00,(28.00),(23.00),15.00,(3.00)
Unusual Expense (Income),298.00,128.00,131.00,171.00,116.00
"Other Operating Expenses, Total",35.00,103.00,(5.00),(3.00),6.00
Total Operating Expense,"36,679.00","42,397.00","36,949.00","34,523.00","30,696.00"
Operating Income,"7,972.00","11,273.00","9,877.00","8,113.00","6,904.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(570.00),(537.00),(367.00),(28.00),(286.00)
"Other, Net",(38.00),(22.00),(21.00),(31.00),(32.00)
Net Income Before Taxes,"7,364.00","10,714.00","9,489.00","8,054.00","6,586.00"
Provision for Income Taxes,"2,409.00","2,932.00","2,499.00","2,214.00","2,133.00"
Net Income After Taxes,"4,955.00","7,782.00","6,990.00","5,840.00","4,453.00"
Minority Interest,(253.00),(611.00),(636.00),(475.00),(387.00)
Net Income Before Extra. Items,"4,702.00","7,171.00","6,354.00","5,365.00","4,066.00"
Net Income,"4,702.00","7,171.00","6,354.00","5,365.00","4,066.00"
Income Available to Com Excl ExtraOrd,"4,702.00","7,171.00","6,354.00","5,365.00","4,066.00"
Income Available to Com Incl ExtraOrd,"4,702.00","7,171.00","6,354.00","5,365.00","4,066.00"
Diluted Net Income,"4,702.00","7,171.00","6,354.00","5,365.00","4,066.00"
Diluted Weighted Average Shares,504.21,503.84,503.92,504.01,504.64
Diluted EPS Excluding ExtraOrd Items,9.33,14.23,12.61,10.64,8.06
DPS - Common Stock Primary Issue,6.00,4.80,6.00,5.00,4.00
Diluted Normalized EPS,9.98,14.42,12.80,10.90,8.21
Dilution Adjustment,0.00,--,--,--,--
