TITLE,SUMMARY,DATE
LVMH Partners With Canopy On Forest Conservation,"June 4 (Reuters) - LVMH MOET HENNESSY LOUIS VUITTON SE <LVMH.PA>::PARTNERS WITH CANOPY TO FURTHER STRENGTHEN ITS COMMITMENT TO FOREST CONSERVATION.LVMH'S COMMITMENTS INCLUDE ENSURING ITS SUPPLY CHAINS FOR PAPER, PAPER PACKAGING AND FABRICS ARE FREE OF FIBRE FROM THE WORLD'S ANCIENT AND ENDANGERED FORESTS BY END OF 2022.",8 days ago
Shareholders Approve Share Buyback Of Up To 10% Of LVMH's Capital For Maximum Price Of EUR 950/Shr,"May 28 (Reuters) - LVMH <LVMH.PA>::DESCRIPTION OF THE MAIN CHARACTERISTICS OF THE SHARE REPURCHASE PROGRAM APPROVED BY THE ORDINARY GENERAL MEETING OF MAY 28, 2021.MAXIMUM PROPORTION OF CAPITAL THAT MAY BE PURCHASED BY THE COMPANY: 10%.MAXIMUM PRICE PER SHARE: 950 EUROS.PROGRAM DURATION: 18 MONTHS AS OF THE ORDINARY GENERAL MEETING OF MAY 28, 2021.",16 days ago
Tod's CFO Says No Ongoing Talks with LVMH on Closer Ties,"May 12 (Reuters) - Tod's executives tell analysts in a post-results conference call::TOD'S CFO SAYS THERE IS NO DEAL ALREADY DONE WITH LVMH OR ONGOING TALKS, ANY FURTHER COLLABORATION BETWEEN THE TWO GROUPS IS A POSSIBILITY.TOD'S CFO SAYS THERE IS NOTHING ALREADY DECIDED OR DISCUSSED WITH LVMH.TOD'S CFO SAYS IT IS A REASONABLE POSSIBILITY THAT SOMETHING IN THE FUTURE CAN BE DONE TOGETHER WITH LVMH.TOD'S EXEC SAYS CURRENT SIX WEEKS OF Q2 ARE GETTING CLOSER AND CLOSER TO 2019 LEVELS.TOD'S CFO SAYS NOT PLANNING TO LAUNCH ANY COMMERCIAL OPERATION WITH CHIARA FERRAGNI, HER APPOINTMENT TO BOARD CAN HELP REACH YOUNGER CUSTOMERS.TOD'S CFO SAYS CURRENT EARNINGS CONSENSUS SEEMS REALLY FEASIBLE.TOD'S CFO SAYS GROUP HAS INVESTMENT PLANS IN UNITED STATES TO IMPROVE GROUP PRESENCE IN THIS IMPORTANT MARKET.TOD'S CFO SAYS GROUP CAN COME CLOSE TO OR EVEN REACH 2019 PROFITABILITY NEXT YEAR.TOD'S CEO SAYS GROUP'S SHOP NETWORK HAS THE RIGHT SIZE.Further company coverage: [TOD.MI ]. (Reporting by Milan newsroom).",a month ago
Gecina Signs Agreement With Louis Vuitton For New 18-Year Lease On Champs-Elysees,May 10 (Reuters) - Gecina SA <GFCP.PA>::SIGNS AGREEMENT WITH LOUIS VUITTON FOR A NEW 18-YEAR LEASE ON CHAMPS-ELYSEES.,a month ago
French-backed Pegasus Europe 'SPAC' confirms final offering proceeds of around 484 mln euros,"May 3 (Reuters) - Tikehau Capital/Pegasus Europe::PEGASUS EUROPE CONFIRMS FINAL OFFERING PROCEEDS.PEGASUS EUROPE: CONFIRMS FINAL OFFERING PROCEEDS OF EUR 483,555,410 FOLLOWING PARTIAL EXERCISE OF PUT OPTION BY STABILISATION MANAGER..PEGASUS IS A SPECIAL PURPOSE ACQUISITION COMPANY FOCUSED ON EUROPEAN FINANCIAL SERVICES SECTOR, FOUNDED BY TIKEHAU CAPITAL, FINANCIÈRE AGACHE AND TWO OF EUROPE'S MOST EXPERIENCED BANKERS nFWN2MM0P8.",a month ago
Amber Capital: backs corporate governance changes at Lagardere,"April 28 (Reuters) - Bollore SE <BOLL.PA>::AMBER CAPITAL CONFIRMS ITS FULL SUPPORT FOR THE PROPOSAL TO TRANSFORM THE GROUP LAGARDÈRE, FROM A “SOCIÉTÉ EN COMMANDITE PAR ACTION”, INTO A FRENCH “SOCIÉTÉ ANONYME”, WITH THE IMPLEMENTATION OF A NEW CORPORATE GOVERNANCE STRUCTURE..AMBER CAPITAL: THIS GOVERNANCE WILL ENSURE THE PROPER FUNCTIONING OF THE MANAGEMENT BODIES, WHICH IS ESSENTIAL FOR THE SUCCESS AND DEVELOPMENT OF THE LAGARDÈRE GROUP..AMBER CAPITAL: CONFIRMS THAT THERE IS NO AGREEMENT WITH THE OTHER MAJOR SHAREHOLDERS AND/OR WITH THE COMPANY AND ITS MANAGEMENT REGARDING THE IMPLEMENTATION OF A COMMON STRATEGY FOR THE LAGARDERE GROUP.AMBER CAPITAL ON LAGARDERE: SHAREHOLDER PACT BETWEEN AMBER CAPITAL AND VIVENDI, PUBLISHED ON 11TH AUGUST 2020, REMAINS VALID.This proposal is fully aligned with Amber Capital’s strategic vision for the business. As an investor, and major shareholder with circa 20% of the shareholding, Amber Capital has been engaged in the turnaround of the group since 2016, in the interest of the company, its employees and all its stakeholders.. (Reporting by Sudip Kar-Gupta). ((sudip.kargupta@thomsonreuters.com;)).",2 months ago
Arnaud Lagardere: would want all current assets to stay in Lagardere in any new deal with shareholders,"April 27 (Reuters) - Lagardere's <LAGA.PA> Arnaud Lagardere told a webcast on Tuesday::WOULD LIKE ANY DEAL, STRUCK WITH SHAREHOLDERS, TO ENSURE THAT ALL THE CURRENT ACTIVITIES AND ASSETS STAY IN COMPANY.Further company coverage: <LAGA.PA>. (Paris newsroom). ((+33 1 49 49 53 29;)).",2 months ago
Arnaud Lagardere: optimistic on outcome of talks over governance changes at Lagardere,"April 27 (Reuters) - Lagardere's <LAGA.PA> Arnaud Lagardere told a webcast on Tuesday::IT IS TRUE THAT THERE IS A PROJECT AND DISCUSSIONS ONGOING REGARDING CORPORATE GOVERNANCE CHANGES.IN TALKS WITH MAIN SHAREHOLDERS OVER POSSIBLE NEW CHANGES.WOULD LIKE TO KEEP COMPANY PERIMETER AND FAIR COMPENSATION FOR GENERAL PARTNERS, IF POSSIBLE.REMAIN OPTIMISTIC OVER OUTCOME OF TALKS OVER POSSIBLE CORPORATE GOVERNANCE CHANGES, NO CERTAINTY AND NO FIRM TIMETABLE ON THIS YET.Further company coverage: LAGA.PA. (Paris newsroom). ((+33 1 49 49 53 29;)).",2 months ago
Tod's Says LVMH Increases Up To 10% Shareholding Held In Co,"April 22 (Reuters) - Tod's SpA <TOD.MI>::TOD'S - PRESS RELEASE ON BEHALF OF MR DIEGO DELLA VALLE RELEASED BY TODS SPA.LVMH INCREASES UP TO 10% SHAREHOLDING HELD IN TOD'S..TOD'S- DIEGO DELLA VALLE ENTERED INTO SALE AND PURCHASE AGREEMENT WITH DELPHINE FOR SALE OF NO. 2,250,000 SHARES OF TOD'S; 6.8% OF TOD'S SHARE CAPITAL.MR. DIEGO DELLA VALLE WILL OWN, DIRECTLY AND INDIRECTLY, 63,64% OF TOD'S OUTSTANDING SHARES AND LVMH WILL OWN 10,0%..TRANSACTION WILL BE EXECUTED ON 28 APRIL 2021.PRICE PER SHARE IS 33.10 EURO, EQUAL TO VOLUME WEIGHTED AVERAGE PRICE OF TOD'S SHARES OF FIFTEEN TRADING DAYS PRECEDING SIGNING.",2 months ago
LVMH: Approval Of 2020 Dividend Of EUR 6.00 Per Share,"April 15 (Reuters) - LVMH Moet Hennessy Louis Vuitton SE <LVMH.PA>::2020 DIVIDEND.APPROVAL WAS GIVEN FOR PAYMENT OF A DIVIDEND FOR FINANCIAL YEAR 2020 OF 6.00 EUROS PER SHARE.LAST TRADING DAY WITH DIVIDEND RIGHTS IS MONDAY, APRIL 19(TH), 2021.AT ANNUAL SHAREHOLDERS' MEETING APPROVAL WAS GIVEN FOR PAYMENT OF DIVIDEND FOR FY 2020 OF 6.00 EUROS PER SHARE.",2 months ago
