,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,269.00,229.00,282.00,250.00,287.00
Cash & Equivalents,"4,478.00","1,237.00","1,846.00","1,523.00","1,209.00"
Cash and Short Term Investments,"4,747.00","1,466.00","2,128.00","1,773.00","1,496.00"
"Accounts Receivable - Trade, Net","3,018.00","3,532.00","3,453.00","3,084.00","3,042.00"
"Total Receivables, Net","3,110.00","3,727.00","3,556.00","3,160.00","3,144.00"
Total Inventory,"3,959.00","4,694.00","4,702.00","4,508.00","4,480.00"
"Other Current Assets, Total","1,266.00","1,256.00","1,315.00","1,341.00","1,733.00"
Total Current Assets,"13,082.00","11,143.00","11,701.00","10,782.00","10,853.00"
"Property/Plant/Equipment, Total - Gross","29,979.00","31,079.00","28,253.00","26,836.00","27,077.00"
"Accumulated Depreciation, Total","(18,075.00)","(17,910.00)","(16,609.00)","(15,953.00)","(16,024.00)"
"Property/Plant/Equipment, Total - Net","11,904.00","13,169.00","11,644.00","10,883.00","11,053.00"
"Goodwill, Net","2,136.00","2,388.00","2,160.00","1,092.00",963.00
"Intangibles, Net","1,980.00","2,280.00","2,217.00",785.00,630.00
Long Term Investments,"1,411.00","1,479.00","1,294.00",645.00,525.00
Note Receivable - Long Term,294.00,277.00,265.00,71.00,62.00
"Other Long Term Assets, Total",830.00,941.00,845.00,"1,009.00","1,236.00"
Total Assets,"31,637.00","31,677.00","30,126.00","25,267.00","25,322.00"
Accounts Payable,"2,728.00","3,097.00","3,040.00","3,004.00","2,703.00"
Accrued Expenses,860.00,915.00,923.00,794.00,731.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,"1,718.00","1,137.00","1,150.00",464.00,"1,239.00"
"Other Current liabilities, Total","1,830.00","1,944.00","1,918.00","1,620.00","1,746.00"
Total Current Liabilities,"7,136.00","7,093.00","7,031.00","5,882.00","6,419.00"
Long Term Debt,"6,102.00","4,853.00","4,938.00","1,987.00","1,542.00"
Capital Lease Obligations,801.00,897.00,283.00,228.00,131.00
Total Long Term Debt,"6,903.00","5,750.00","5,221.00","2,215.00","1,673.00"
Total Debt,"8,621.00","6,887.00","6,371.00","2,679.00","2,912.00"
Deferred Income Tax,425.00,455.00,435.00,113.00,117.00
Minority Interest,(2.00),3.00,23.00,35.00,47.00
"Other Liabilities, Total","4,542.00","5,150.00","5,258.00","5,796.00","6,467.00"
Total Liabilities,"19,004.00","18,451.00","17,968.00","14,041.00","14,723.00"
"Common Stock, Total",357.00,357.00,360.00,359.00,360.00
Additional Paid-In Capital,"2,746.00","2,789.00","2,923.00","2,942.00","3,024.00"
Retained Earnings (Accumulated Deficit),"10,795.00","10,367.00","9,387.00","8,421.00","7,206.00"
Treasury Stock - Common,0.00,0.00,--,--,--
"Other Equity, Total","(1,265.00)",(287.00),(512.00),(496.00),9.00
Total Equity,"12,633.00","13,226.00","12,158.00","11,226.00","10,599.00"
Total Liabilities & Shareholders' Equity,"31,637.00","31,677.00","30,126.00","25,267.00","25,322.00"
Total Common Shares Outstanding,178.34,178.63,179.85,179.52,180.07
"Tangible Book Value per Share, Common Eq",47.76,47.91,43.26,52.08,50.01
