,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,625.00,"1,730.00","1,660.00","1,693.00","1,667.00"
Depreciation/Depletion,"1,753.00","1,754.00","1,344.00","1,345.00","1,392.00"
Non-Cash Items,868.00,880.00,702.00,703.00,819.00
Cash Taxes Paid,315.00,619.00,497.00,563.00,765.00
Cash Interest Paid,305.00,371.00,216.00,422.00,210.00
Changes in Working Capital,120.00,"(1,043.00)",(875.00),"(1,000.00)","(1,113.00)"
Cash from Operating Activities,"3,366.00","3,321.00","2,831.00","2,741.00","2,765.00"
Capital Expenditures,"(1,221.00)","(1,801.00)","(1,668.00)","(1,771.00)","(1,811.00)"
"Other Investing Cash Flow Items, Total",(167.00),(446.00),"(3,138.00)",(289.00),(90.00)
Cash from Investing Activities,"(1,388.00)","(2,247.00)","(4,806.00)","(2,060.00)","(1,901.00)"
Financing Cash Flow Items,(105.00),(20.00),(84.00),(69.00),49.00
Total Cash Dividends Paid,(357.00),(665.00),(637.00),(584.00),(515.00)
"Issuance (Retirement) of Stock, Net",(44.00),(137.00),(17.00),(84.00),(202.00)
"Issuance (Retirement) of Debt, Net","1,850.00",(918.00),"3,066.00",18.00,(131.00)
Cash from Financing Activities,"1,344.00","(1,740.00)","2,328.00",(719.00),(799.00)
Foreign Exchange Effects,(41.00),4.00,2.00,(15.00),4.00
Net Change in Cash,"3,281.00",(662.00),355.00,(53.00),69.00
