NAME,AGE,POSITION,APPOINTED
Barbara Dalibard,62,Chairman - Supervisory Board,2021
Yves Chapot,58,"Managing Partner, Chief Financial Officer, Member Of The Executive Board",2019
Florent Menegaux,58,"Managing Partner, Member Of The Executive Committee",2018
Jean-Christophe Guerin,70,"Executive Vice President - Manufacturing, Member Of The Executive Committee",2018
Anne-Sophie De La Bigne,60,Independent Member Of The Supervisory Board,2013
Jean-Pierre Duprieu,69,Independent Member Of The Supervisory Board,2013
Aruna Jayanthi,58,Independent Member Of The Supervisory Board,2015
Thierry Le Henaff,57,Independent Member Of The Supervisory Board,2018
Monique F. Leroux,66,Independent Member Of The Supervisory Board,2015
Jean-Michel Severino,49,Independent Member Of The Supervisory Board,2020
Patrick De La Chevardiere,64,Independent Director,2020
Jean-Christophe Laourde,45,Member Of The Supervisory Board - Representing Employees,2020
Delphine Roussy,38,Member Of The Supervisory Board - Representing Employees,2020
