,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"3,467.00","3,443.00","1,832.00","1,701.00","1,601.00"
Cash & Equivalents,"2,133.00","1,424.00",340.00,873.00,900.00
Cash and Short Term Investments,"5,600.00","4,867.00","2,172.00","2,574.00","2,501.00"
"Accounts Receivable - Trade, Net","3,072.00","3,569.00","4,432.00","3,863.00","2,974.00"
"Total Receivables, Net","4,190.00","5,252.00","6,165.00","5,345.00","3,757.00"
Total Inventory,"12,328.00","17,296.00","20,744.00","17,986.00","14,734.00"
Prepaid Expenses,486.00,696.00,416.00,321.00,369.00
"Other Current Assets, Total","5,369.00",505.00,"2,978.00",519.00,886.00
Total Current Assets,"27,973.00","28,616.00","32,475.00","26,745.00","22,247.00"
"Property/Plant/Equipment, Total - Gross","56,182.00","67,220.00","63,205.00","70,626.00","61,433.00"
"Accumulated Depreciation, Total","(25,560.00)","(30,989.00)","(27,567.00)","(33,655.00)","(26,602.00)"
"Property/Plant/Equipment, Total - Net","30,622.00","36,231.00","35,638.00","36,971.00","34,831.00"
"Goodwill, Net","3,992.00","5,104.00","4,986.00","5,294.00","5,248.00"
"Intangibles, Net",320.00,328.00,742.00,443.00,403.00
Long Term Investments,"9,797.00","7,301.00","5,761.00","6,555.00","5,223.00"
Note Receivable - Long Term,677.00,440.00,949.00,557.00,548.00
"Other Long Term Assets, Total","8,671.00","9,888.00","10,698.00","8,732.00","6,642.00"
Total Assets,"82,052.00","87,908.00","91,249.00","85,297.00","75,142.00"
Accounts Payable,"11,525.00","12,614.00","13,981.00","13,428.00","11,633.00"
Accrued Expenses,"2,389.00","2,487.00","2,589.00","2,581.00","2,341.00"
Notes Payable/Short Term Debt,"1,647.00","1,838.00","1,968.00","1,735.00","1,123.00"
Current Port. of LT Debt/Capital Leases,860.00,"1,031.00","1,199.00","1,050.00",762.00
"Other Current liabilities, Total","6,246.00","3,317.00","3,718.00","2,616.00","2,256.00"
Total Current Liabilities,"22,667.00","21,287.00","23,455.00","21,410.00","18,115.00"
Long Term Debt,"9,183.00","10,605.00","8,961.00","9,729.00","11,325.00"
Capital Lease Obligations,632.00,866.00,355.00,414.00,464.00
Total Long Term Debt,"9,815.00","11,471.00","9,316.00","10,143.00","11,789.00"
Total Debt,"12,322.00","14,340.00","12,483.00","12,928.00","13,674.00"
Deferred Income Tax,"1,832.00","2,331.00","2,374.00","2,684.00","2,529.00"
Minority Interest,"1,957.00","1,962.00","2,022.00","2,066.00","2,190.00"
"Other Liabilities, Total","7,501.00","12,336.00","11,996.00","10,205.00","10,384.00"
Total Liabilities,"43,772.00","49,387.00","49,163.00","46,508.00","45,007.00"
"Common Stock, Total",393.00,364.00,364.00,401.00,401.00
Additional Paid-In Capital,"35,247.00","34,826.00","34,894.00","34,848.00","34,826.00"
Retained Earnings (Accumulated Deficit),"22,097.00","22,883.00","25,611.00","20,635.00","16,049.00"
Treasury Stock - Common,(538.00),(602.00),(569.00),(362.00),(371.00)
Unrealized Gain (Loss),583.00,180.00,212.00,823.00,322.00
"Other Equity, Total","(19,502.00)","(19,130.00)","(18,426.00)","(17,556.00)","(21,092.00)"
Total Equity,"38,280.00","38,521.00","42,086.00","38,789.00","30,135.00"
Total Liabilities & Shareholders' Equity,"82,052.00","87,908.00","91,249.00","85,297.00","75,142.00"
Total Common Shares Outstanding,"1,080.73","1,012.08","1,013.57","1,019.92","1,019.50"
"Tangible Book Value per Share, Common Eq",31.43,32.69,35.87,32.41,24.02
