,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"53,270.00","70,615.00","76,033.00","68,679.00","56,791.00"
Total Revenue,"53,270.00","70,615.00","76,033.00","68,679.00","56,791.00"
"Cost of Revenue, Total","50,731.00","66,960.00","66,863.00","61,502.00","51,055.00"
Gross Profit,"2,539.00","3,655.00","9,170.00","7,177.00","5,736.00"
"Selling/General/Admin. Expenses, Total","1,777.00","2,054.00","2,179.00","2,091.00","1,963.00"
Research & Development,245.00,301.00,290.00,278.00,239.00
Unusual Expense (Income),"(1,593.00)","1,927.00",162.00,(626.00),(627.00)
Total Operating Expense,"51,160.00","71,242.00","69,494.00","63,245.00","52,630.00"
Operating Income,"2,110.00",(627.00),"6,539.00","5,434.00","4,161.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(223.00),(576.00),(770.00),749.00,(366.00)
"Other, Net",(799.00),(729.00),(788.00),"(1,176.00)","(1,075.00)"
Net Income Before Taxes,"1,088.00","(1,932.00)","4,981.00","5,007.00","2,720.00"
Provision for Income Taxes,"1,666.00",459.00,(349.00),432.00,986.00
Net Income After Taxes,(578.00),"(2,391.00)","5,330.00","4,575.00","1,734.00"
Minority Interest,(155.00),(63.00),(181.00),(7.00),45.00
Net Income Before Extra. Items,(733.00),"(2,454.00)","5,149.00","4,568.00","1,779.00"
Net Income,(733.00),"(2,454.00)","5,149.00","4,568.00","1,779.00"
Income Available to Com Excl ExtraOrd,(733.00),"(2,454.00)","5,149.00","4,568.00","1,779.00"
Income Available to Com Incl ExtraOrd,(733.00),"(2,454.00)","5,149.00","4,568.00","1,779.00"
Diluted Net Income,(733.00),"(2,454.00)","5,149.00","4,568.00","1,779.00"
Diluted Weighted Average Shares,"1,140.00","1,013.00","1,021.00","1,024.00",955.00
Diluted EPS Excluding ExtraOrd Items,(0.64),(2.42),5.04,4.46,1.86
DPS - Common Stock Primary Issue,0.26,0.00,0.17,0.09,0.00
Diluted Normalized EPS,(1.20),(1.19),5.15,3.90,1.44
Total Adjustments to Net Income,0.00,--,--,--,--
