TITLE,SUMMARY,DATE
"Fluxys Belgium, North Sea Port, ArcelorMittal Belgium And Federal Energy Minister Tinne Van Der Straeten Join Forces","June 2 (Reuters) - FLUXYS BELGIUM NV <FLUX.BR>::NORTH SEA PORT, FLUXYS BELGIUM, ARCELORMITTAL BELGIUM AND FEDERAL ENERGY MINISTER TINNE VAN DER STRAETEN ARE JOINING FORCES TO DEVELOP A NETWORK OF PIPELINES FOR HYDROGEN, CO2 AND HEAT IN PORT AREA.",10 days ago
"ArcelorMittal Files For Mixed Shelf In The U.S., Size Undisclosed - SEC Filing","May 12 (Reuters) - ArcelorMittal: :ARCELORMITTAL FILES FOR MIXED SHELF IN THE U.S., SIZE UNDISCLOSED - SEC FILING.",a month ago
ArcelorMittal Q1 Operating Income Up At 2.64 Bln,"May 6 (Reuters) - ARCELORMITTAL SA <MT.LU>::ARCELORMITTAL REPORTS FIRST QUARTER 2021 RESULTS.Q1 SALES $16.2 BILLION.1Q 2021 OPERATING INCOME OF $2.6BN VERSUS. $2.0BN IN 4Q 2020.NET INCOME OF $2.3BN IN 1Q 2021 AS COMPARED TO NET INCOME OF $1.2BN AND ADJUSTED NET INCOME OF $0.2BN IN 4Q 2020.COMPANY DELIVERED $0.3BN OF FREE CASH FLOW AT END-Q1.COMPLETED A $650M SHARE BUYBACK IN 1Q 2021.Q1 SALES USD 16.19 BILLION VERSUS USD 14.84 BILLION YEAR AGO.Q1 CRUDE STEEL PRODUCTION 17.6 MT VERSUS 21.1 MT YEAR AGO.Q1 STEEL SHIPMENTS 16.5 MT VERSUS 19.5 MT YEAR AGO.Q1 OWN IRON ORE PRODUCTION 13.3 MT VERSUS 14.4 MT YEAR AGO.Q1 IRON ORE SHIPPED AT MARKET PRICE 9.8 MT VERSUS 8.6 MT YEAR AGO.Q1 COMPANY DELIVERED $0.3BN OF FREE CASH FLOW ($1.0BN NET CASH PROVIDED BY OPERATING ACTIVITIES LESS CAPEX OF $0.6BN LESS $0.1BN DIVIDENDS PAID TO MINORITIES) DESPITE A $1.6BN INVESTMENT IN WORKING CAPITAL, REFLECTING SEASONAL AS WELL AS MARKET FACTORS.COMPANY NOW EXPECTS APPARENT STEEL CONSUMPTION (""ASC"") IN 2021 TO BE AT OR ABOVE UPPER END OF RANGES PRESENTED AT TIME OF 4Q 2021 RESULTS IN FEBRUARY 2021.EXPECTS GLOBAL APPARENT STEEL CONSUMPTION (""ASC"") IN 2021 TO GROW BETWEEN +4.5% TO +5.5%.GROSS DEBT DECREASED BY $0.9 BLN TO $11.4 BLN AS OF MARCH 31, 2021, AS COMPARED TO $12.3 BLN AS OF DECEMBER 31, 2020 AND $13.8 BLN AS OF MARCH 31, 2020.",a month ago
Arcelormittal Plans Investment In German Sites To Accelerate Co2 Emissions Reduction Strategy,"March 29 (Reuters) - ARCELORMITTAL SA <MT.LU>::ARCELORMITTAL PLANS MAJOR INVESTMENT IN GERMAN SITES, TO ACCELERATE CO2 EMISSIONS REDUCTION STRATEGY AND LEVERAGE THE HYDROGEN GRID.OBJECTIVE IS TO REACH INDUSTRIAL COMMERCIAL MATURITY OF TECHNOLOGY BY 2025, INITIALLY PRODUCING 100,000 TONNES OF SPONGE IRON A YEAR.TECHNOLOGY CONVERSION REQUIRES INVESTMENTS IN RANGE OF EUR 1-1.5 BILLION AND WOULD RESULT IN PRODUCTION COSTS THAT ARE AROUND 60 PER CENT HIGHER, COMPARED WITH TODAY.UP TO 3.5 MLN TONNES OF STEEL COULD BE PRODUCED BY BREMEN AND EISENHUTTENSTADT SITES BY 2030, WITH SIGNIFICANTLY LOWER CO(2) EMISSIONS.",3 months ago
"ArcelorMittal Looking For Utility Partners, Subsidies For Green German Steel - Europe Chief","March 26 (Reuters) - ArcelorMittal SA <MT.LU>::LOOKING FOR UTILITY PARTNERS, PUBLIC FUNDING TO TRANSFORM GERMAN STEEL OPERATIONS TOWARD CARBON NEUTRALITY - EUROPE CHIEF IN REUTERS INTERVIEW.EUROPE CHIEF - SWITCH TO DRI METHOD, MORE SCRAP METAL SMELTING IN BREMEN, EISENHUETTENSTADT WOULD COST 1-1.5 BILLION EUROS ($1.18-1.77 BILLION).EUROPE CHIEF - CHANGING TO LOW-CARBON OPERATIONS IN BOTH LOCATIONS HAS THE POTENTIAL TO SAVE 5 MILLION TONNES OF CO2 PER YEAR~.EUROPE CHIEF - DECISION TO GO AHEAD DEPENDS ON POSITIVE OUTCOME OF PUBLIC FUNDING APPLICATIONS, ALSO EU NEEDS TO PROTECT STEELMAKERS AGAINST CHEAP IMPORTS VIA BORDER CARBON TAX~.",3 months ago
"Air Liquide, ArcelorMittal Partner On Decarbonising Steel Production",March 17 (Reuters) - L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George <AIRP.PA>::AIR LIQUIDE AND ARCELORMITTAL JOIN FORCES TO ACCELERATE THE DECARBONIZATION OF STEEL PRODUCTION IN THE BASIN OF DUNKIRK.,3 months ago
ArcelorMittal Names Geert Van Poelvoorde As CEO Of ArcelorMittal Europe,March 8 (Reuters) - ArcelorMittal SA <MT.LU>::ARCELORMITTAL NAMES GEERT VAN POELVOORDE AS CEO OF ARCELORMITTAL EUROPE.YVES KOEBERLE HAS BEEN APPOINTED AS CEO ARCELORMITTAL EUROPE – FLAT PRODUCTS.,4 months ago
ArcelorMittal Q4 EBITDA Up At $1.72 Billion,"Feb 11 (Reuters) - ArcelorMittal SA <MT.LU>::Q4 OWN IRON ORE PRODUCTION 15.3 MT VERSUS 14.8 MT YEAR AGO.Q4 IRON ORE SHIPPED AT MARKET PRICE 10.6 MT VERSUS 9.6 MT YEAR AGO.Q4 REVENUE $14.18 BILLION VERSUS $15.51 BILLION YEAR AGO.Q4 EBITDA $ 1.72 BILLION VERSUS $ 0.93 BILLION YEAR AGO.Q4 NET INCOME GROUP SHARE $ 1.21 BILLION VERSUS LOSS OF $1.88 BILLION YEAR AGO.RECOVERY IN STEEL SHIPMENTS: RECOVERY IN APPARENT STEEL DEMAND (GROWTH OF +4.5% TO +5.5% IS CURRENTLY FORECAST IN 2021 VERSUS. 2020).STEEL SHIPMENTS ARE EXPECTED TO INCREASE YOY (ON A SCOPE ADJUSTED BASIS I.E. EXCLUDING THE IMPACTS OF THE ARCELORMITTAL USA SALE AND THE DECONSOLIDATION OF ARCELORMITTAL ITALIA12 (EXPECTED IN 1Q 2021)).COMPANY ENDED 2020 WITH GROSS DEBT OF $12.3 BILLION AND NET DEBT OF $6.4 BILLION.BOARD PROPOSES TO RESTART THE BASE DIVIDEND TO SHAREHOLDERS AT $0.30/SH TO BE PAID IN JUNE 2021.IN 2020 DELIVERED $1.5BN OF FREE CASH FLOW.TO RETURN $570 MILLION OF CAPITAL TO SHAREHOLDERS THROUGH A FURTHER SHARE BUYBACK PROGRAM IN 2021.INITIATIVES ARE UNDERWAY TO ENSURE THAT WE TAKE LESSONS FROM OUR SWIFT AND COMPREHENSIVE COVID-19 RESPONSE ACTIONS AND EMBED THESE ACROSS BUSINESS, WITH A TARGET OF DELIVERING MORE THAN $1 BILLION OF SUSTAINED SAVINGS BY 2022 - EXECUTIVE CHAIRMAN.",5 months ago
Aditya Mittal Appointed CEO Of ArcelorMittal,Feb 11 (Reuters) - ArcelorMittal SA <MT.LU>::LAKSHMI N. MITTAL TO BECOME EXECUTIVE CHAIRMAN; ADITYA MITTAL APPOINTED CHIEF EXECUTIVE OFFICER.,5 months ago
Arcelormittal To Sell Shares in Cleveland-Cliffs For $651.6 Million,Feb 9 (Reuters) - ArcelorMittal SA <MT.LU>::ARCELORMITTAL ANNOUNCES SALE OF 40 MILLION COMMON SHARES IN CLEVELAND-CLIFFS FOR GROSS PROCEEDS OF $651.6 MILLION.PROCEEDS FROM SALE OF CLEVELAND-CLIFFS COMMON SHARES WILL BE USED FOR A NEW SHARE BUYBACK PROGRAMME OF ARCELORMITTAL COMMON SHARES.TRANSACTION IS A PART OF A COMBINED PRIMARY AND SECONDARY PUBLIC OFFERING OF CLEVELAND-CLIFFS' SHARES.,5 months ago
