NAME,AGE,POSITION,APPOINTED
Lakshmi Narayan Mittal,70,Executive Chairman Of The Board,2021
Aditya Mittal,45,"President, Chief Executive Officer, Member Of The Management Committee, Member Of The Executive Board",2021
Genuino M. Christino,49,"Chief Financial Officer, Member Of The Management Committee",2021
Brian Edward Aranha,65,"Executive Vice President - Head Of Strategy, CTO, R&D, CCM, And Global Automotive, Member Of The Executive Board, Member Of The Management Committee",2016
Bart Wille,59,"Executive Vice President, Head Of Human Resources, Member Of The Management Committee, Member Of The Executive Board",2018
Jefferson De Paula,62,"Executive Vice President, Member Of The Executive Board, Member Of The Management Committee, Chief Executive Officer ArcelorMittal South America Long",2016
Geert Maurice Van Poelvoorde,55,"Executive Vice President, Member Of The Management Committee, Member Of The Executive Board, Chief Executive Officer - ArcelorMittal Europe",2021
Simon C. Wandke,61,"Executive Vice President, Member Of The Executive Board, Member Of The Management Committee, Chief Executive Officer ArcelorMittal Mining",2016
Daniel C. Fairclough,--,"Vice President, Member Of The Management Committee, Corporate Finance And Head Of Investor Relations",2010
Benjamin Mario Baptista Filho,--,"Vice President, Member Of The Management Committee, Chief Executive Officer Flat Carbon South America",--
Victor M. Cairo,--,"Vice President, Member Of The Management Committee, Chief Executive Officer ArcelorMittal Mexico",--
David Clarke,--,"Vice President - - Head Of Strategy And CCM (Commercial Coordination And Marketing), Member Of The Management Board",2020
Brad Davey,56,"Vice President - Head Of Corporate Business Optimization, Member Of The Management Committee, Chief Executive Officer ArcelorMittal North America",2018
Sean Donnelly,--,"Vice President, Member Of The Management Board, President And Chief Executive Officer ArcelorMittal Dofasco",2020
Vijay Krishna Goyal,49,"Vice President, Member Of The Management Committee, Chief Executive Officer ArcelorMittal CIS (ArcelorMittal Kryvyi Rih, Ukraine And ArcelorMittal Temirtau, Kazakhstan)",2020
Augustine Kochuparampil,68,"Vice President, Member Of The Management Committee, Chief Executive Officer ArcelorMittal Europe – Long Products",2013
Yves Koeberle,--,"Vice President, Member Of The Management Committee, Chief Executive Officer - ArcelorMittal Europe – Flat Products",2021
Gregory Ludkovsky,--,"Vice President, Member Of The Management Board, Chief Executive Officer Of Global Research And Development",2020
Sanjay Samaddar,59,"Vice President, Member Of The Management Board, Chief Executive Officers, ArcelorMittal Poland, Country Head Of Poland, Head Of Human Resources And IS/IT (ArcelorMittal Europe – Flat Products) And Hea",2020
Wim Van Gerven,--,"Vice President, Member Of The Management Board, Director Of Operations AM/NS India",2020
Hendrik Jacobus Verster,54,"Vice President, Member Of The Management Committee, Chief Executive Officer Of ArcelorMittal South Africa Limited",--
Sapan Gupta,--,Global General Counsel,2021
John L. Brett,55,"Member Of The Management Committee, Member Of The Executive Committee, Chief Executive Officer Of ArcelorMittal North America",2020
Henk Scheffer,--,Company Secretary,--
Bruno Lafont,64,Lead Non-Executive Independent Director,2017
Vanisha Mittal Bhatia,40,Non-Executive Non-Independent Director,2004
Michel Wurth,67,Non-Executive Non-Independent Director,2014
Tye Winston Burt,63,Non-Executive Independent Director,2012
Karel De Gucht,67,Non-Executive Independent Director,2016
Suzanne P. Nimocks,61,Non-Executive Independent Director,2011
Karyn F. Ovelmen,57,Non-Executive Independent Director,2015
Etienne Schneider,49,Non-Executive Independent Director,2020
