,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"2,751.00","2,462.00","2,523.00","3,166.00","2,324.00"
Cash & Equivalents,"5,394.00","4,019.00","3,111.00","2,644.00","4,031.00"
Short Term Investments,"3,253.00","4,833.00","2,809.00","5,961.00","1,857.00"
Cash and Short Term Investments,"11,398.00","11,314.00","8,443.00","11,771.00","8,212.00"
"Accounts Receivable - Trade, Net","6,856.00","6,529.00","6,461.00","6,379.00","4,964.00"
"Total Receivables, Net","10,169.00","10,767.00","10,621.00","7,556.00","9,148.00"
Total Inventory,814.00,906.00,965.00,827.00,819.00
Prepaid Expenses,850.00,730.00,571.00,455.00,540.00
"Other Current Assets, Total","1,863.00","1,270.00","1,291.00","1,128.00","1,130.00"
Total Current Assets,"25,094.00","24,987.00","21,891.00","21,737.00","19,849.00"
"Property/Plant/Equipment, Total - Gross","113,915.00","7,156.00","99,899.00","94,186.00","93,188.00"
"Accumulated Depreciation, Total","(77,830.00)","(72,206.00)","(68,274.00)","(68,065.00)",--
"Property/Plant/Equipment, Total - Net","36,084.00","35,123.00","27,693.00","26,665.00","25,912.00"
"Goodwill, Net","27,596.00","27,644.00","27,174.00","26,911.00","27,156.00"
"Intangibles, Net","15,135.00","14,737.00","14,073.00","14,339.00","14,602.00"
Long Term Investments,"2,780.00","2,500.00","3,962.00","3,788.00","3,997.00"
Note Receivable - Long Term,44.00,70.00,41.00,15.00,28.00
"Other Long Term Assets, Total","1,000.00","1,680.00","1,758.00","1,909.00","3,137.00"
Total Assets,"107,733.00","106,741.00","96,592.00","95,349.00","94,668.00"
Accounts Payable,"6,475.00","6,682.00","6,736.00","6,527.00","6,211.00"
Accrued Expenses,"2,192.00","2,261.00","2,392.00","2,448.00","2,266.00"
Notes Payable/Short Term Debt,709.00,361.00,"1,434.00","1,551.00",820.00
Current Port. of LT Debt/Capital Leases,"9,085.00","9,182.00","10,570.00","9,420.00","7,668.00"
"Other Current liabilities, Total","9,833.00","9,281.00","9,164.00","9,111.00","8,939.00"
Total Current Liabilities,"28,294.00","27,767.00","30,296.00","29,057.00","25,904.00"
Long Term Debt,"30,089.00","33,148.00","26,064.00","26,293.00","28,247.00"
Capital Lease Obligations,"5,875.00","5,593.00",426.00,506.00,500.00
Total Long Term Debt,"35,964.00","38,741.00","26,490.00","26,293.00","28,753.00"
Total Debt,"45,758.00","48,284.00","38,494.00","37,264.00","37,241.00"
Deferred Income Tax,855.00,703.00,631.00,655.00,658.00
Minority Interest,"2,643.00","2,687.00","2,580.00","2,537.00","2,486.00"
"Other Liabilities, Total","5,582.00","5,118.00","5,926.00","5,832.00","6,179.00"
Total Liabilities,"73,338.00","75,016.00","65,923.00","64,374.00","63,980.00"
"Common Stock, Total","10,640.00","10,640.00","10,640.00","10,640.00","10,640.00"
Additional Paid-In Capital,"16,859.00","16,859.00","16,859.00","16,859.00","16,859.00"
Retained Earnings (Accumulated Deficit),"1,851.00","(1,075.00)","(2,062.00)","(1,851.00)","(2,210.00)"
Unrealized Gain (Loss),68.00,(28.00),(10.00),56.00,34.00
"Other Equity, Total","4,977.00","5,329.00","5,242.00","5,271.00","5,365.00"
Total Equity,"34,395.00","31,725.00","30,669.00","30,975.00","30,688.00"
Total Liabilities & Shareholders' Equity,"107,733.00","106,741.00","96,592.00","95,349.00","94,668.00"
Total Common Shares Outstanding,"2,658.79","2,650.31","2,652.84","2,659.56","2,660.03"
"Tangible Book Value per Share, Common Eq",(3.14),(4.02),(3.99),(3.86),(4.16)
