,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"5,055.00","3,222.00","2,158.00","2,040.00","3,263.00"
Depreciation/Depletion,"8,518.00","8,385.00","7,047.00","6,846.00","6,728.00"
Non-Cash Items,"4,037.00","3,837.00","4,450.00","4,667.00","3,291.00"
Cash Taxes Paid,"1,086.00","1,079.00",928.00,583.00,906.00
Cash Interest Paid,"1,544.00","1,594.00","1,539.00","1,611.00","1,625.00"
Changes in Working Capital,"(4,913.00)","(5,254.00)","(4,149.00)","(3,379.00)","(4,532.00)"
Cash from Operating Activities,"12,697.00","10,190.00","9,506.00","10,174.00","8,750.00"
Capital Expenditures,"(8,546.00)","(8,422.00)","(7,642.00)","(7,527.00)","(8,492.00)"
"Other Investing Cash Flow Items, Total","2,982.00",(948.00),(910.00),(414.00),"3,613.00"
Cash from Investing Activities,"(5,564.00)","(9,370.00)","(8,552.00)","(7,941.00)","(4,879.00)"
Financing Cash Flow Items,(482.00),(2.00),(457.00),(549.00),(373.00)
Total Cash Dividends Paid,"(1,595.00)","(1,857.00)","(1,860.00)","(1,729.00)","(1,596.00)"
"Issuance (Retirement) of Stock, Net",7.00,(34.00),(98.00),(4.00),119.00
"Issuance (Retirement) of Debt, Net","(3,340.00)","1,917.00","1,284.00",(456.00),(33.00)
Cash from Financing Activities,"(5,410.00)",24.00,"(1,131.00)","(2,738.00)","(1,883.00)"
Foreign Exchange Effects,(59.00),3.00,1.00,(40.00),(102.00)
Net Change in Cash,"1,664.00",847.00,(176.00),(545.00),"1,886.00"
