,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"42,270.00","42,238.00","41,381.00","40,859.00","40,918.00"
Total Revenue,"42,270.00","42,238.00","41,381.00","40,859.00","40,918.00"
"Cost of Revenue, Total","16,804.00","16,796.00","17,382.00","17,233.00","17,125.00"
Gross Profit,"25,466.00","25,442.00","23,999.00","23,626.00","23,793.00"
"Selling/General/Admin. Expenses, Total","11,653.00","11,670.00","12,372.00","11,819.00","12,105.00"
Depreciation/Amortization,"8,518.00","8,384.00","7,047.00","6,846.00","6,728.00"
"Interest Exp.(Inc.),Net-Operating, Total",38.00,10.00,(20.00),(1.00),(13.00)
Unusual Expense (Income),171.00,11.00,133.00,639.00,"2,080.00"
"Other Operating Expenses, Total",(435.00),(563.00),(362.00),(455.00),(431.00)
Total Operating Expense,"36,749.00","36,308.00","36,552.00","36,081.00","37,594.00"
Operating Income,"5,521.00","5,930.00","4,829.00","4,778.00","3,324.00"
"Interest Inc.(Exp.),Net-Non-Op., Total","(1,323.00)","(1,162.00)","(1,394.00)","(1,561.00)","(1,336.00)"
"Other, Net",9.00,(99.00),32.00,(154.00),(8.00)
Net Income Before Taxes,"4,207.00","4,669.00","3,467.00","3,063.00","1,980.00"
Provision for Income Taxes,(848.00),"1,447.00","1,309.00","1,052.00",970.00
Net Income After Taxes,"5,055.00","3,222.00","2,158.00","2,011.00","1,010.00"
Minority Interest,(233.00),(218.00),(204.00),(197.00),(328.00)
Net Income Before Extra. Items,"4,822.00","3,004.00","1,954.00","1,814.00",682.00
Net Income,"4,822.00","3,004.00","1,954.00","1,843.00","2,935.00"
Total Adjustments to Net Income,(255.00),(268.00),(293.00),(267.00),(287.00)
Income Available to Com Excl ExtraOrd,"4,567.00","2,736.00","1,661.00","1,547.00",395.00
Income Available to Com Incl ExtraOrd,"4,567.00","2,736.00","1,661.00","1,576.00","2,648.00"
Dilution Adjustment,9.00,12.00,0.00,33.00,0.00
Diluted Net Income,"4,576.00","2,748.00","1,661.00","1,609.00","2,648.00"
Diluted Weighted Average Shares,"2,683.79","2,687.98","2,658.10","2,711.94","2,654.05"
Diluted EPS Excluding ExtraOrd Items,1.71,1.02,0.62,0.58,0.15
DPS - Common Stock Primary Issue,0.90,0.50,0.70,0.65,0.60
Diluted Normalized EPS,1.75,1.03,0.66,0.74,0.55
Total Extraordinary Items,0.00,29.00,"2,253.00",448.00,--
