NAME,AGE,POSITION,APPOINTED
Stephane Richard,59,"Chairman Of The Board, Chief Executive Officer, Member Of Executive Committee",2011
Ramon Fernandez,53,"Delegate Chief Executive Officer, Executive Director Finance, Performance And Europe, Member Of The Executive Committee",2018
Marie-Noelle Jego-Laveissiere,53,"Deputy Chief Executive Officer, Chief Technology And Innovation Officer, Member Of The Executive Committee",2018
Gervais Pellissier,62,"Delegate Chief Executive Officer, Group Transformation And Chairman Of Orange Business Services, Member Of The Executive Committee",2018
Nicolas Guerin,52,"Senior Executive Vice-President, Group General Secretary And Secretary Of The Board Of Directors, Member Of The Executive Committee",2018
Jerome Barre,48,"Senior Executive Vice-President Of Wholesale And International Networks, Member Of The Executive Committee",2018
Hugues John Antoine Foulon,52,"Senior Executive Vice-President, Strategy And Cyber Security Activities, Member Of The Executive Committee",2018
Beatrice Mandine,52,"Senior Executive Vice-President, Internal And External Communication For The Group And Brand, Member Of The Executive Committee",2018
Helmut Reisinger,53,"Senior Executive Vice-President, Orange Business Services, Member Of The Executive Committee",2018
Michael Trabbia,44,Chief Technology And Innovation Officer,2020
Paul De Leusse,48,"Deputy Chief Executive Officer For Mobile Financial Services, Member Of The Executive Committee",2018
Fabienne Dulac,53,"Deputy Chief Executive Director Of Orange France, Member Of The Executive Committee",2018
Alioune Ndiaye,60,"Chief Executive Officer Of Orange Middle East And Africa, Member Of The Executive Committee",2018
Elizabeth Tchoungui,47,"Executive Director Group CSR, Diversity And Philanthropy",--
Sebastien Crozier,52,Employee Representative On The Board Of Directors,2017
Laurence Dalboussiere,57,Employee Representative On The Board Of Directors,2020
Fabrice Jolys,47,Employee Representative On The Board Of Directors,2017
Anne Lange,52,Representative Of The French State On The Board Of Directors,2015
Rene Ollier,60,Employee Representative On The Board Of Directors,2017
Thierry Sommelet,51,Representative Director,2021
Claire Vernet-Garnier,37,Representative Director,2020
Alexandre Bompard,48,Independent Director,2016
Anne-Gabrielle Heilbronner,52,Independent Director,2019
Christel Heydemann,46,Independent Director,2017
Helle Kristoffersen,57,Independent Director,2011
Bernard Ramanantsoa,72,Independent Director,2016
Frederic Sanchez,61,Independent Director,2020
Jean-Michel Severino,63,Independent Director,2011
